"ID_REF"	"GSM710733"	"GSM710735"	"GSM710737"
"A1BG-AS1"	5.39915313352235	4.73999343442962	4.92537955623921
"A2M-AS1"	4.63378483738375	4.36905926729323	4.48590773891866
"AA06"	4.2174631618543	4.02233214873242	4.46461787757992
"AATBC"	6.83570863229242	5.28479237015024	7.42079303869809
"ABALON"	5.78030548120317	6.18097303636912	6.3425573371995
"ABCA9-AS1"	3.25141727284739	3.3271390820094	3.22533490386242
"AC000032.1"	7.8831989458917	7.10045288324808	8.36084064324158
"AC000068.2"	9.14322027353807	10.121450806152	10.4554205402591
"AC000120.1"	9.06281496171391	9.00809870429783	7.66670262953337
"AC000123.2"	4.47051436232022	5.04004169131215	3.77232871568192
"AC000123.3"	4.93524525044721	5.02001679959632	4.89997198388198
"AC002044.1"	10.3724689877674	9.77165759626974	10.3246249878321
"AC002059.1"	7.03727518447653	5.69239659532703	6.04628266023805
"AC002064.1"	3.98835140739525	3.82508035093532	3.92098212879184
"AC002070.1"	5.01561816667897	5.18701024273201	5.024243984614
"AC002094.1"	7.67319226226973	8.31327514102845	9.16619769837967
"AC002094.2"	7.57915610296148	7.61178479550774	8.05513065338431
"AC002116.1"	8.79701325784586	8.66303610052975	7.50669363656578
"AC002310.1"	5.20680035275989	5.22107060775914	5.04654977374631
"AC002310.2"	4.87374156267215	4.74459036099285	4.81863908876955
"AC002347.2"	6.86725824628828	7.51692440403638	8.52851155763679
"AC002398.1"	6.62298901404322	6.75941004706059	6.40138382305126
"AC002398.2"	4.43796967585518	4.06823522712825	4.35565300385177
"AC002463.1"	2.91533472747482	3.31066817917868	3.40356111327706
"AC002464.1"	3.59640693300486	3.73606102284041	3.59469737202911
"AC002467.1"	5.90803596102919	7.15138501179257	7.09080109954487
"AC002470.2"	6.98527116919383	6.70632921986006	6.91051455018311
"AC002480.1"	4.65257964968777	4.43429486298166	4.30185834148288
"AC002525.1"	4.01876954996538	3.56291487607445	4.01937114046721
"AC002550.1"	5.76825710748855	6.46928043250368	6.67892643065672
"AC002553.1"	5.60029976936794	5.16360997133142	4.96997367777511
"AC003102.1"	6.93804485566209	7.89294030690679	6.04836572142102
