"ID_REF"	"GSM705297"	"GSM705298"	"GSM705299"	"GSM705300"	"GSM705301"	"GSM1209554"	"GSM1209555"	"GSM1209556"	"GSM1209557"
"A1BG-AS1"	"4.90249522635801"	"4.61473964987866"	"4.62825505952338"	"4.60008152280662"	"4.90773988918966"	"4.5025431045138"	"4.66687505253853"	"5.01652790036049"	"4.79230394588611"
"A2M-AS1"	"3.98353225999999"	"4.41503842439698"	"4.11694209241084"	"4.07749307383424"	"3.49304515830786"	"3.75074180933649"	"3.94479334793179"	"4.10429292929109"	"4.15182788437154"
"AA06"	"4.77691069711387"	"4.88019559137957"	"5.05963404318074"	"4.93169880475875"	"4.76719604261265"	"4.75517827077999"	"4.93112794049343"	"4.91979495092879"	"5.02636218869806"
"AATBC"	"5.04471052552933"	"4.97379468554604"	"5.4203965076972"	"4.59588738246908"	"4.48661562259889"	"4.35445009687904"	"5.38123155521676"	"5.21867068664477"	"4.48442902382832"
"ABALON"	"5.30492988071226"	"5.49699857144801"	"5.53522320043642"	"5.46867661451204"	"5.43170421542448"	"5.49422078822893"	"5.46780656376803"	"5.41783888630744"	"5.5445356586519"
"ABCA9-AS1"	"3.25400657611951"	"3.25812175643128"	"3.15994473578823"	"3.07183728276031"	"3.26780872987725"	"3.18881267109775"	"3.08682414962739"	"3.31035267277322"	"3.25457990258529"
"AC000032.1"	"6.23479637550369"	"6.68718423948316"	"6.54939451569146"	"6.42923602209853"	"6.67429647287214"	"6.2214031948849"	"7.38712531642286"	"5.98438114356165"	"6.29851102374866"
"AC000068.2"	"8.41825485450613"	"7.68279670873503"	"7.63205737885304"	"7.94324102340702"	"8.52651710941652"	"8.05784929254491"	"8.39687317755718"	"7.80145344943765"	"7.74377965240201"
"AC000120.1"	"5.93325793671075"	"5.56754506510343"	"5.74557652846081"	"6.23719510179934"	"6.2094746165392"	"5.7911955083426"	"5.91077071266476"	"5.45997031396632"	"6.36524144936944"
"AC000123.2"	"3.98472901852027"	"4.44068635276277"	"3.80103436934661"	"4.21876926001146"	"4.28394884749193"	"3.83705284724158"	"4.37230386604246"	"4.10967320989619"	"4.03540124013182"
"AC000123.3"	"4.42804214812195"	"5.07621450294338"	"4.75080038086339"	"4.34892156032522"	"4.36436197367534"	"4.75949833503469"	"4.60789592753904"	"4.4478879976332"	"4.4028272679467"
"AC002044.1"	"8.61975765085175"	"8.24078228970454"	"8.48606220374088"	"8.70446380414598"	"8.86406471395154"	"8.65466537963437"	"8.10781579714609"	"8.8454871625587"	"8.59415630861834"
"AC002059.1"	"4.60524556738408"	"4.81709151262149"	"5.24361652107172"	"4.97299576227979"	"4.79405261215407"	"4.57428194567764"	"5.01488628126911"	"4.9451708713565"	"5.11210479225319"
"AC002064.1"	"3.75697110474108"	"3.98228710626517"	"4.07498459948003"	"4.08377357777923"	"3.36712705435633"	"3.67633149993526"	"3.9610170496041"	"3.81364024797446"	"3.90077063279295"
"AC002070.1"	"4.28924630989071"	"4.18527982738394"	"4.24171114297992"	"4.32064759458146"	"3.90248788128354"	"4.34549675243696"	"4.30614118787831"	"3.93047203129657"	"4.24206628675684"
"AC002094.1"	"6.75489624761949"	"6.14960834562404"	"6.49337121918608"	"6.30607751228424"	"7.09244357973638"	"6.87836356806657"	"6.45525238924641"	"6.08583926009852"	"6.69228815618977"
"AC002094.2"	"7.47804383105878"	"7.36657619289424"	"7.52014280003332"	"7.46760032863842"	"7.78357921491629"	"7.77267620770298"	"7.52961950418752"	"7.36439643452856"	"7.47883728638548"
"AC002116.1"	"5.90147049246477"	"4.62586481617512"	"5.69660946106541"	"5.49641083828502"	"6.51295320250799"	"5.16704960492422"	"4.90182676677363"	"6.2784613420402"	"5.72392474037442"
"AC002310.1"	"5.96055891116152"	"6.07824677222392"	"5.68723526824952"	"5.70490475920935"	"5.39180874901748"	"5.58104977180018"	"6.54582414439668"	"5.18233894969017"	"5.44488782460363"
"AC002310.2"	"4.1655908419837"	"4.23309684169084"	"4.3190100680418"	"4.10085986101427"	"4.41643945195654"	"3.85768135656341"	"4.33328317802209"	"4.58206352057357"	"4.21353689712782"
"AC002347.2"	"5.50482784487857"	"4.90313952499991"	"4.98271471399871"	"5.27903216030434"	"5.95235709453826"	"5.1484936317061"	"5.56198632914219"	"5.39211108626548"	"5.05491367975049"
"AC002398.1"	"5.50533854593611"	"5.24359449112651"	"5.39996807290894"	"5.44566354135788"	"5.56418594152098"	"5.57012347689543"	"5.1311484405554"	"5.55717717981082"	"5.37426730467027"
"AC002398.2"	"3.9633245822862"	"4.23674446329651"	"4.32991567984715"	"4.23733981137876"	"4.22374672205473"	"4.34153134047195"	"4.06589656717428"	"4.04690548317579"	"4.46444351967534"
"AC002463.1"	"2.84943896154176"	"2.85997280143976"	"2.89078139060767"	"2.74538773060659"	"2.63939738353759"	"2.84563377290705"	"2.86025222470231"	"2.68179917841982"	"2.84811299159616"
"AC002464.1"	"2.97979633259905"	"3.26668915008812"	"3.20154222030407"	"3.25027079512812"	"3.11839140782208"	"3.13153139035813"	"3.15749036096397"	"3.20912249638556"	"3.21637922380738"
"AC002467.1"	"5.16640922098607"	"5.53241593234635"	"5.21906087029927"	"5.05967035471457"	"5.11921695578748"	"5.65890926752519"	"5.23783534662484"	"4.82478306227861"	"5.09490819906435"
"AC002470.2"	"4.88862465234404"	"4.80595849683944"	"5.15561081261059"	"5.18355400116785"	"5.35708548389653"	"4.99703608303501"	"5.05611374215811"	"4.89437671344609"	"5.33352411949173"
"AC002480.1"	"6.02422439877286"	"5.42228406117866"	"5.1998166893736"	"4.76055908531876"	"5.8581264402637"	"5.45478440799857"	"5.89735639040748"	"5.08974279942011"	"5.0586336717186"
"AC002525.1"	"4.34484959441292"	"5.45773848320789"	"5.33741599596869"	"5.07412491034015"	"3.72828161077301"	"4.93721329108763"	"4.79187224823298"	"4.51755941702603"	"4.47633109398484"
