"ID_REF"	"GSM349848"	"GSM349849"	"GSM674836"	"GSM674837"	"GSM674839"	"GSM674840"	"GSM674842"	"GSM674843"	"GSM674845"	"GSM674846"
"AC002467.1"	"5.75644783779629"	"6.22127138351394"	"5.55165422172102"	"6.0131115721953"	"5.54114808934544"	"6.80179037117237"	"5.90446223332383"	"6.24857250943731"	"5.38979280133608"	"6.1075459661912"
"AC002470.2"	"5.20662457154935"	"5.40700157536484"	"5.31234997549403"	"5.60018666868384"	"5.27856533625755"	"5.3031320407418"	"5.25474874787444"	"5.17979179377668"	"5.29412019460078"	"5.25082999549724"
"AC002480.1"	"3.29311634854672"	"3.58611538116776"	"3.42664387836142"	"3.5406995475109"	"3.75399958355271"	"3.42567665748761"	"3.24026070437893"	"3.40358080366445"	"3.39992735681678"	"3.32673246289056"
"AC002525.1"	"4.04858106030138"	"4.30962548258435"	"4.15210857042199"	"4.40432503762863"	"4.19977111577191"	"4.37202702725042"	"4.00194658527575"	"3.99890680992287"	"4.08725778913672"	"4.21364126205025"
"AC002550.1"	"6.17491533111487"	"6.15450660401637"	"5.82072415622559"	"6.01982094956282"	"5.60434461345675"	"6.36824800486186"	"6.06436638546132"	"6.65580140771579"	"5.6684328506556"	"6.20228047825783"
"AC002553.1"	"5.14583702976642"	"5.15473781694181"	"5.18788212156514"	"5.14628960472444"	"5.09215218224307"	"5.05225525160481"	"5.30223889992267"	"5.21759955191684"	"5.26619712663756"	"5.10216309919454"
"AC003102.1"	"5.93460976562525"	"5.91254807426752"	"6.24147936028027"	"5.79122620037448"	"6.29514941861995"	"5.89953473001252"	"5.84835136992787"	"5.6186340978813"	"6.17568570700568"	"5.7870870316987"
"AC003681.1"	"6.10229955355403"	"6.18148678119144"	"6.22998564766415"	"6.13617548919745"	"6.21688643644259"	"6.14031051714805"	"6.16051642968793"	"5.90792465262106"	"6.27925646656639"	"6.02470084363038"
"AC003682.1"	"2.82905236205973"	"3.04688318255138"	"3.09126194654035"	"2.8645956433558"	"2.83932892704804"	"2.88924749927279"	"3.05650479321317"	"2.92235358249481"	"2.72623816527077"	"3.083180744008"
"AC003958.2"	"3.1501736199581"	"2.86634844192035"	"3.09664886869648"	"2.99617888972702"	"3.08824110147826"	"2.85630496148292"	"3.02676166032064"	"2.93163884291751"	"3.07147627731135"	"3.01382354613752"
"AC003973.1"	"3.89514183486594"	"4.05151137787847"	"3.73508919819649"	"4.23837269602477"	"3.99671142555906"	"4.10850821315673"	"4.07647892848159"	"4.19161749045296"	"3.98728698855852"	"4.04299405157079"
"AC003986.1"	"4.8352711948767"	"4.73081301022691"	"4.85170808634152"	"4.94669800142961"	"4.56925383894154"	"4.88548434614309"	"4.64719760176351"	"4.74538628634797"	"4.79484287188331"	"4.76435183403651"
"AC003991.1"	"3.20074698686822"	"3.32748702579353"	"3.75660128675085"	"3.52109139737219"	"3.25282367409789"	"2.95169119477846"	"3.00101492094118"	"3.13606023591113"	"3.13989808148536"	"3.20382845199248"
"AC004009.2"	"3.49142119068202"	"3.6684430834331"	"3.74752191219733"	"3.5839409543957"	"3.53124846241463"	"3.59038550302709"	"3.69881278024617"	"3.57757863404629"	"3.5924425419171"	"3.6141414449605"
"AC004009.3"	"2.69992997206045"	"2.907828579486"	"2.79191732306273"	"2.78448670919123"	"2.94431137820024"	"2.79108858937047"	"2.78209554874736"	"2.81594941163335"	"2.76807657101767"	"2.74825361735189"
"AC004023.1"	"3.30506276368224"	"3.16065019354101"	"3.1734455388738"	"3.44039757616719"	"3.17668298922909"	"3.10839915465688"	"3.18696115679808"	"3.11151755311198"	"3.41722781748872"	"3.18981032229852"
"AC004039.1"	"3.53404994580704"	"3.68566568371579"	"3.72604224747403"	"3.69292651570955"	"3.68527328655921"	"3.34338791693378"	"3.71844237984964"	"3.55429641064403"	"3.77669793168362"	"3.57588799451069"
"AC004069.1"	"11.9602472826694"	"11.7049259586905"	"11.7228820644246"	"11.5211441160506"	"12.3715246834319"	"12.0958005197698"	"11.4852291775584"	"12.0966363593362"	"11.7467171684471"	"11.525186238194"
"AC004076.2"	"4.2372052611286"	"4.00884368642385"	"4.03488680026636"	"4.21215706925306"	"4.38296773262629"	"3.94388744472454"	"4.21561369710678"	"4.04388343254043"	"4.1588754132828"	"4.02481545591538"
"AC004080.1"	"5.30095682947814"	"5.34871567661761"	"5.1481356493215"	"5.40970524148529"	"5.38090434972517"	"5.2184497731863"	"5.31632081329656"	"5.36463055578569"	"5.49866994708294"	"5.34506549914566"
"AC004080.2"	"5.11651176169089"	"5.20125645695999"	"5.49981027560431"	"5.32892630486059"	"5.16059532490357"	"4.92634641762387"	"5.18625445845687"	"4.97602020949094"	"5.1808036098319"	"5.09974884924034"
"AC004080.6"	"5.80573566416924"	"5.88391396267986"	"5.94521207325395"	"5.97799948805881"	"5.8687191750245"	"5.98935149547329"	"5.8256894075899"	"5.70739430601122"	"6.05305770178492"	"5.88012292634335"
"AC004130.2"	"5.09491690491176"	"5.08015825895522"	"5.21176883389047"	"4.99168484891018"	"4.97986643111223"	"5.39872716637351"	"5.02962945943512"	"4.83346422970279"	"5.04456648164086"	"5.17090738828498"
"AC004148.1"	"7.61391926146835"	"7.83654144788919"	"7.79697694663298"	"7.50745688692751"	"8.06904939245939"	"7.96025574842484"	"7.72115125698893"	"7.9172054488909"	"7.80975300404477"	"7.59393606260131"
"AC004156.1"	"4.89369286030584"	"5.25114004944134"	"5.00480496467262"	"4.95715748046899"	"5.307420112726"	"5.27987266934297"	"5.11761208196483"	"4.88921047626458"	"4.96139528183327"	"5.10115779459341"
"AC004158.1"	"2.82581507410955"	"3.07204250871173"	"3.18630028268868"	"2.91211058841952"	"2.95387789369759"	"2.91176639580799"	"2.8503590104994"	"2.79927983627453"	"3.07188394091779"	"2.87321619201256"
"AC004160.1"	"3.98062987078847"	"4.11568713075984"	"4.13695221273782"	"4.29729011899938"	"4.00724364223172"	"3.96570151734743"	"4.10527968643157"	"3.91128112170725"	"4.02495764223333"	"4.31395251278445"
"AC004221.1"	"8.38631309536949"	"7.87843476420916"	"7.53623621716429"	"8.16665809547372"	"7.84827840348745"	"8.03413972340493"	"8.05178199367039"	"8.56304929753763"	"7.92501990260433"	"8.55844272478785"
"AC004231.3"	"3.01252707429418"	"2.86374834601621"	"2.94743186071777"	"2.9709146316722"	"2.92544144703636"	"3.0275212184247"	"2.89655494113669"	"2.91307560627192"	"2.96973926471796"	"2.90968154806063"
"AC004232.2"	"5.83464846501407"	"5.78391562963416"	"5.9289175673588"	"5.3839212589528"	"6.56201214442399"	"5.52305368616439"	"5.8397637972769"	"5.39131910334191"	"6.29841985456774"	"5.40701908320867"
"AC004233.2"	"5.79060593857705"	"6.03206311146614"	"5.99348462139977"	"5.94830178948095"	"5.88239969561374"	"5.94425787233504"	"5.6597973246042"	"5.9012302495379"	"5.89825292539362"	"5.94901602438474"
"AC004241.1"	"5.56200268723646"	"5.58404600707139"	"5.61210678650248"	"5.64618311335557"	"5.6951963249394"	"5.71781832234214"	"5.53233234026017"	"5.39571438098889"	"5.56370072386495"	"5.35207519809907"
"AC004241.4"	"4.11378607682473"	"3.9474516903626"	"4.06500864373873"	"4.13122652641961"	"4.20599523219697"	"4.01703227894408"	"3.98954451366096"	"3.86592631329886"	"3.89470566088406"	"4.05382499786514"
"AC004241.5"	"3.18094182409926"	"3.48089812721473"	"3.32346123061119"	"3.23799844114719"	"3.3172115144964"	"3.50147055611736"	"3.22849473155264"	"3.17094671838586"	"3.33485163881206"	"3.27880210786423"
"AC004264.1"	"5.43174484764641"	"5.72037556852158"	"5.71635121651603"	"5.60791631600587"	"5.39197589708207"	"5.64256310588378"	"5.77839245110174"	"5.61664323704888"	"5.66636598479707"	"5.70242759146052"
"AC004408.1"	"4.69461359337283"	"5.13230686771661"	"5.14052848867346"	"4.86027796148486"	"4.82655274787937"	"4.79385487504859"	"4.85356391695407"	"4.66523241041535"	"4.82162335820377"	"4.90538949295505"
"AC004408.2"	"5.06734604072188"	"5.12304309727095"	"5.00486984961549"	"4.91586324325306"	"4.97481974063519"	"5.13257016445113"	"4.93942932242182"	"5.32368998434273"	"5.04605146621033"	"5.02962734801759"
"AC004461.2"	"4.32710633243644"	"4.47557435741641"	"4.48940823695419"	"4.50564486316708"	"4.4882708956917"	"4.62125884315348"	"4.28606445729845"	"4.07947205595236"	"4.3868286800711"	"4.36395579799617"
"AC004477.1"	"9.16635403835807"	"9.10257947378135"	"8.68270785745053"	"9.60338978386116"	"8.73407852248654"	"9.8714760163213"	"8.50084710194805"	"8.78666400547398"	"8.60442871239514"	"9.9083967246748"
"AC004490.1"	"4.02621008762291"	"4.31780331040599"	"4.10444953524497"	"4.05049569817311"	"4.1612414677027"	"4.37374392701443"	"4.16665104779449"	"3.96524931013492"	"4.12226720974885"	"4.22192412761264"
"AC004510.2"	"5.04701688676197"	"4.84264206129452"	"5.0482230209362"	"4.88637925760456"	"4.80744831561521"	"4.74930475726813"	"4.96124073607446"	"4.94834352157072"	"4.84517047553002"	"4.98739360326917"
"AC004522.3"	"4.95713587089466"	"5.02414945561147"	"5.02316761316983"	"4.95759959317452"	"4.9435239174334"	"5.13060107632786"	"4.66195755644652"	"4.99896240127368"	"4.7146990666079"	"5.05853511259373"
"AC004528.1"	"3.26369486447745"	"3.4483143202148"	"3.28746885811032"	"3.42829074440856"	"3.3267110346406"	"3.23531563128828"	"3.48718198442349"	"3.08247457733711"	"3.49885922852161"	"3.39727921299124"
"AC004540.1"	"4.1127568604597"	"4.10326141036413"	"4.10110141761534"	"4.28294725795457"	"4.20458868997018"	"4.02842817243355"	"4.17990413114922"	"4.02603037527786"	"4.11721000896596"	"4.1735381195649"
"AC004542.1"	"8.10812965177785"	"7.83986324148037"	"7.98608373394591"	"7.84997206621899"	"8.26485536788672"	"7.43148813163951"	"8.15419776184402"	"7.93051312999491"	"7.97382099923644"	"7.67131525881443"
"AC004543.1"	"7.67721110592965"	"7.41226917261406"	"6.97081105055136"	"7.61728551575428"	"7.36924689377694"	"7.70881871711432"	"6.69760296270673"	"7.21141846166926"	"7.4974990101742"	"7.54719073691104"
"AC004590.1"	"3.74988218113227"	"3.78243629127227"	"3.73705419508595"	"3.80449979909112"	"3.7387523586132"	"3.84802171471109"	"3.74081573924031"	"3.75392811564436"	"3.74783093598141"	"3.84302219852086"
"AC004593.1"	"3.7557997514337"	"3.96999920315351"	"4.16018933367971"	"3.85153071251834"	"3.8237370672686"	"3.91604201178283"	"3.72002564684609"	"3.88088087888004"	"3.70754524373871"	"3.79385919497563"
"AC004623.1"	"2.63781734634832"	"2.68284622559641"	"2.55470727713658"	"3.07452539659742"	"2.48236887605392"	"2.49735668019747"	"2.74470670029513"	"2.59576871158341"	"2.50068711605798"	"2.6263564594005"
"AC004687.1"	"7.48610792891466"	"6.92004357070544"	"7.37861335416232"	"7.17667347745903"	"7.46451940718218"	"7.0370365161561"	"7.51261514504069"	"7.0210700923986"	"7.58517758258613"	"7.11077986524136"
"AC004690.2"	"3.22641854114776"	"3.46545899853422"	"3.30665483536922"	"3.540944291144"	"3.22408982338542"	"3.26220490595071"	"3.34880880280962"	"3.33756633092442"	"3.32539447291702"	"3.45599887779343"
"AC004707.1"	"3.55681380020918"	"3.71526560291979"	"3.70335046215897"	"3.66936812892971"	"3.66031908884898"	"3.69960703267041"	"3.59586309156165"	"3.48836683484228"	"3.63593647076308"	"3.61182444405507"
