"ID_REF"	"GSM573357"	"GSM573358"	"GSM573359"	"GSM158184"	"GSM158186"	"GSM158187"
"A1BG-AS1"	"4.24577767133306"	"4.28049516906169"	"4.14606663161339"	"4.3091562708065"	"4.18519338217722"	"4.18860811219453"
"A2M-AS1"	"3.46765043483698"	"3.53424489666943"	"3.41586898909862"	"3.49745888669859"	"3.4881615280383"	"3.44924185414589"
"AA06"	"5.15103622404836"	"4.72490293457138"	"4.88593579232458"	"4.95994455071393"	"4.92823535674576"	"4.85062224731495"
"AATBC"	"4.90081831587737"	"4.50385490286307"	"4.85807222442799"	"5.3000168108573"	"3.84290995545096"	"4.99126467692376"
"ABALON"	"5.89236874572239"	"5.81681295872535"	"5.93295942627139"	"5.93702832419685"	"5.84214790044902"	"5.86258416410099"
"ABCA9-AS1"	"3.00001852332008"	"3.12152420653393"	"3.08219491305096"	"3.31795794833061"	"2.92849413535955"	"2.93986004038618"
"AC000032.1"	"6.71287180560079"	"6.62154129352675"	"6.92431020834224"	"6.6732581303524"	"7.00282896967176"	"6.5382027943263"
"AC000068.2"	"8.73160037955553"	"8.7689827970571"	"8.70913851850944"	"8.83688372287155"	"8.6929160704263"	"8.67446438780495"
"AC000120.1"	"6.47842745967105"	"6.36513415061875"	"6.60140736532784"	"6.40125468975034"	"6.55432338749597"	"6.50436381924094"
"AC000123.2"	"3.4288304340448"	"3.54020020072533"	"3.61117532022397"	"3.28425685272075"	"3.50681602311259"	"3.77291621691218"
"AC000123.3"	"3.48057258276959"	"3.3720834326068"	"3.35163449295391"	"3.49109440045914"	"3.40287657503783"	"3.32073313397508"
"AC002044.1"	"9.62048415464825"	"9.57984522801463"	"9.58067273054798"	"9.32367218752362"	"9.75341799575154"	"9.67023737834547"
"AC002059.1"	"5.62900191314905"	"5.33927266968943"	"5.65039147255032"	"5.75601424533296"	"5.34369907141521"	"5.50717924047845"
"AC002064.1"	"3.37003383801647"	"3.20972686190594"	"3.120071797613"	"3.3483340419788"	"3.07769908950232"	"3.27251058629046"
"AC002070.1"	"3.83492161127391"	"3.70542235552739"	"3.84696830632525"	"3.79430999070284"	"3.85058639463954"	"3.76577162735996"
