"ID_REF"	"GSM710979"	"GSM711481"	"GSM711685"	"GSM711687"	"GSM1209565"	"GSM1209567"	"GSM1209571"
"AC004522.3"	"6.1069690528546"	"6.25307145470786"	"6.03249156277831"	"6.39052191900901"	"6.16139596438893"	"6.29495080855341"	"6.13919271777707"
"AC004528.1"	"3.72123907448372"	"3.70626156545679"	"3.55550574166882"	"3.54769944366436"	"3.61898185724912"	"3.84733764477417"	"3.43837632902752"
"AC004540.1"	"4.32962471670912"	"4.44366760576468"	"4.29278040201432"	"4.49282658074376"	"4.3179206718044"	"4.42103189649087"	"4.46075439572614"
"AC004542.1"	"9.35858028053629"	"9.18875710450997"	"9.10103761904541"	"9.34485401032718"	"9.19471445304835"	"8.83920627339544"	"9.57483129957909"
"AC004543.1"	"9.81133791264733"	"10.0018360308187"	"10.0160238905275"	"9.9451199493123"	"9.82493378121729"	"9.69922954569936"	"10.14386937459"
"AC004590.1"	"3.80173538146492"	"3.94148934265243"	"3.8909218545812"	"4.09332408430743"	"3.67744487287198"	"4.07341133040743"	"4.03764171032615"
"AC004593.1"	"4.25444380357116"	"4.28376106165344"	"4.29811591858365"	"4.39653404836204"	"4.19239873503845"	"4.42047645871395"	"4.3498711254464"
"AC004623.1"	"3.10883973994855"	"3.5485048599266"	"3.2838156154768"	"3.22665651050474"	"3.07532885906837"	"3.33899173877134"	"3.45640532460209"
"AC004687.1"	"6.60266650340139"	"6.44420626605581"	"6.32450053382409"	"5.94246271234216"	"6.31872063718963"	"6.65217071620611"	"5.92849884373691"
"AC004690.2"	"3.83180913444986"	"3.78424500044246"	"3.79560177549151"	"3.95288685251869"	"3.8967841643661"	"3.85290083276059"	"3.81539046809489"
"AC004707.1"	"4.15333023113785"	"4.27031847186516"	"4.08314540381426"	"4.36467264446479"	"4.19913108848542"	"4.21155876805467"	"4.24562644978978"
"AC004771.3"	"7.04309851822999"	"7.10974590236655"	"6.71593003908811"	"6.34246406291547"	"6.8772250428378"	"6.98726358179126"	"6.48337698114773"
"AC004784.1"	"4.66917128899666"	"4.87299395494348"	"4.76900206096666"	"4.84046397455305"	"4.7786081387194"	"4.65776674990419"	"4.95187057889624"
"AC004801.3"	"3.67730644773668"	"4.11679933787694"	"4.0439671226577"	"4.10276155526742"	"3.83334738478352"	"4.20724324343765"	"3.90170640401856"
