"ID_REF"	"GSM980737"	"GSM980741"	"GSM980745"	"GSM980749"	"GSM1209558"	"GSM1209559"	"GSM1209560"
"A1BG-AS1"	"4.52165001559337"	"4.46547147144091"	"4.50300626244564"	"4.18804965181086"	"4.45292016142496"	"4.41141946465842"	"4.40541683155155"
"A2M-AS1"	"3.63396381202452"	"3.44902959032139"	"3.43127132815073"	"3.51952357108681"	"3.36311321725528"	"3.55581228463913"	"3.61477188277442"
"AA06"	"5.43544705207827"	"5.55550776163928"	"5.4651299170187"	"5.28830051965097"	"5.2507409991669"	"5.54926282726698"	"5.49000981484409"
"AATBC"	"4.16050298435081"	"4.71304095125418"	"5.36343958580994"	"4.61650090739556"	"4.41182031816316"	"4.8268855299056"	"4.71938671251157"
"ABALON"	"5.56589743836083"	"5.68796459395874"	"5.52490427894959"	"5.51708960662178"	"5.53059944982042"	"5.58138465324267"	"5.64179609640317"
"ABCA9-AS1"	"3.18349433468985"	"3.01440445123357"	"3.21893537625132"	"3.05633945119396"	"3.21174496037131"	"2.93816141594364"	"3.1988260168096"
"AC000032.1"	"7.18984046302292"	"6.28217915370127"	"5.97697176078431"	"7.06712226395789"	"6.6939095288596"	"6.54736345304663"	"6.44774205520261"
"AC000068.2"	"8.77684197748206"	"9.17111179630058"	"8.89611630287383"	"9.03703311332556"	"8.86198034946882"	"9.0372489305044"	"8.95846623963098"
"AC000120.1"	"4.13095588855889"	"3.85442174235284"	"4.20148426632174"	"4.17501458820553"	"4.19355435450165"	"4.13641874162771"	"3.92231937522962"
"AC000123.2"	"3.50931904222699"	"3.06464685630867"	"3.19995330225355"	"3.95964436640438"	"3.52924619086429"	"3.48585519844192"	"3.14707170797956"
"AC000123.3"	"3.42841171688562"	"3.55136054756762"	"3.57000113248339"	"3.76444728504579"	"3.51061620789146"	"3.57249696995735"	"3.65474829029381"
"AC002044.1"	"12.1961007342485"	"12.1597749686083"	"12.1164979003979"	"11.8715953625802"	"12.1830627170706"	"12.1039903500436"	"11.9157604566489"
"AC002059.1"	"4.34102352729547"	"4.5993137958168"	"4.42677451299259"	"4.26834937302662"	"4.24956271428804"	"4.33223087924138"	"4.66531453421143"
"AC002064.1"	"3.41430123507544"	"3.31692856663522"	"3.33098336356827"	"3.10199498658149"	"3.20738527191645"	"3.24967393548561"	"3.41247135080407"
"AC002070.1"	"3.8667809891474"	"4.16904610704146"	"4.09164280711531"	"4.14210229032131"	"3.89025619749217"	"4.0497468082235"	"4.24563924134264"
"AC002094.1"	"6.20494701261008"	"5.99819753378789"	"6.65956817718666"	"6.55060664935673"	"6.34081259946701"	"6.09656465857097"	"6.55050662026841"
"AC002094.2"	"6.62088960450705"	"6.51755860767647"	"6.94173734239951"	"6.97421137460623"	"6.80168841131147"	"6.793868289907"	"6.69301223945989"
"AC002116.1"	"4.30153729723321"	"4.80535252960123"	"4.4364446947813"	"4.93125271519058"	"4.49039532613835"	"4.89815307406347"	"4.36651389780132"
"AC002310.1"	"3.76434628415474"	"3.95673869329897"	"3.59503885227064"	"3.74778011484428"	"3.72848416325936"	"3.56104233359913"	"3.98212067204586"
"AC002310.2"	"4.51071979901367"	"4.29952115100308"	"4.52400627142962"	"4.21250607593092"	"4.34879706880479"	"4.49130001414806"	"4.30997821804124"
"AC002347.2"	"4.71222473409187"	"4.55715296544483"	"4.8505707188534"	"5.04204067223258"	"4.96442282080513"	"4.63408986344156"	"4.72423085423869"
"AC002398.1"	"4.23764732268746"	"4.52735122043387"	"4.38499558447472"	"4.25168635959437"	"4.52426104009327"	"4.19229554665697"	"4.3341322637352"
"AC002398.2"	"3.95749888408113"	"4.0315120545343"	"3.86850651445858"	"4.07301832539802"	"3.86190584198551"	"4.10172421762553"	"4.01176864636981"
"AC002463.1"	"3.14854968109346"	"3.14885407375129"	"3.04906951707524"	"3.05388161354533"	"3.11758227025807"	"3.10997371586035"	"3.08250030832469"
"AC002464.1"	"3.01596604664057"	"2.84192590884734"	"2.94420488517901"	"2.96222752502154"	"3.04559671472266"	"2.93312591626964"	"2.85828299922282"
"AC002467.1"	"5.26976306949128"	"5.17456152230957"	"5.1127247410347"	"5.5742868365335"	"5.39444732061232"	"5.39296789003007"	"5.03709693215257"
"AC002470.2"	"4.53464004245492"	"4.42489033822985"	"4.43195553980231"	"4.32974464300519"	"4.58993567092923"	"4.51110597568129"	"4.17453451595145"
"AC002480.1"	"3.74735847917745"	"3.59809678447834"	"3.59319679680343"	"3.53980145179523"	"3.56550351642382"	"3.60360292332964"	"3.70507244932506"
"AC002525.1"	"3.76801608697808"	"3.67932913693745"	"3.91909864991506"	"3.62522876815532"	"3.56233379487397"	"3.89816139285217"	"3.76885968776393"
"AC002550.1"	"3.57491315924809"	"3.84714528555602"	"3.70441912439554"	"3.58425585719535"	"3.50635852618673"	"3.57382668505354"	"3.93119053847386"
"AC002553.1"	"4.63988942484365"	"4.66466813903424"	"4.64631773821985"	"4.52436110305755"	"4.47531158593061"	"4.71752570507005"	"4.69818197490702"
"AC003102.1"	"4.61452897434058"	"4.53972741370347"	"4.47417259502544"	"4.57497077785888"	"4.58849032807913"	"4.59003878843138"	"4.51551297910391"
"AC003681.1"	"7.92442578954804"	"8.08322855508032"	"8.07938770163081"	"7.83318051900819"	"8.14841405448162"	"7.79373378326816"	"7.97350688472573"
"AC003682.1"	"2.81786924830003"	"2.91595182394447"	"2.87576576260887"	"2.74371984388753"	"2.87073636486433"	"2.7773019145797"	"2.8729315036828"
"AC003958.2"	"3.27931851585447"	"3.30861169122345"	"3.15801476310044"	"3.27701004972526"	"3.28040413356658"	"3.23554147449246"	"3.27331903409825"
"AC003973.1"	"3.34931537415025"	"3.5855099352574"	"3.34644834746916"	"3.32979002962195"	"3.42824699171587"	"3.53430219098157"	"3.24045058683401"
"AC003986.1"	"4.11279072849521"	"4.26852779979755"	"4.36977112411208"	"4.28446967807596"	"4.13249838894788"	"4.2090481428206"	"4.45469758508232"
"AC003991.1"	"11.0946736384987"	"11.4241038346856"	"11.6195007404377"	"11.0938506957976"	"11.3016127146328"	"11.5000082407547"	"11.0802308829069"
"AC004009.2"	"3.33856914662575"	"3.04971054738487"	"3.27582086996942"	"3.28671550316138"	"3.23308192882258"	"3.15569165454269"	"3.31719221172916"
