"ID_REF"	"GSM1247614"	"GSM1247616"	"GSM1247619"	"GSM1247620"	"GSM1247622"	"GSM1247624"	"GSM1247626"	"GSM1247628"	"GSM1247630"
"A1BG-AS1"	4.31110687504356	4.37690436724171	4.13691163112953	4.47380340227821	4.07980392739611	4.18866649805284	4.26524522597103	4.21550877924199	4.38632358188271
"A2M-AS1"	3.28267067030826	3.48404538517456	3.40420709505135	3.24011662630215	3.27189283442773	3.4342817810116	3.31485732015023	3.38487697241251	3.60786661899222
"AA06"	3.65225834141322	3.42407452999877	3.79424664972945	3.54625664516217	4.04199762589571	3.82754118244129	3.83737760916542	3.79965285698431	3.61045263783298
"AATBC"	3.58525234006035	3.72163041547081	3.47415271816137	3.53881125618172	3.23458152912208	3.47980630821265	3.82297129023347	3.58950659517391	3.51624401686015
"ABALON"	5.46148985510126	5.35103328865876	5.51524222166116	5.76614995431153	5.69892875550276	5.7036873530888	6.2008391005806	5.34916827015723	5.04104085690546
"ABCA9-AS1"	2.53713898467843	2.60306996303271	2.45982490874155	2.62014334825356	2.51789686207211	2.27420713766038	2.57698013680286	2.13010947115911	2.19454229467741
"AC000032.1"	6.47021562980914	6.40305193757946	6.20635967317578	6.53843895946068	5.79273011344952	5.87666129039929	6.52658550543543	6.68265554422061	6.71500045482533
"AC000068.2"	10.1211709763556	9.51902232140399	9.56491899430047	9.82313866998047	9.76726051601255	9.58968726674274	9.65720487150795	10.0321565614427	9.65523378610131
"AC000120.1"	8.85091506085837	7.82643677299036	8.10340578291465	7.8094948846927	7.82245398948488	8.07967981785151	7.87637074268523	7.82957336169032	7.61418660587673
"AC000123.2"	3.88114802992629	4.77351330448938	4.57695287526001	5.06752573104741	4.8624153913933	6.01217917127546	5.51853800136636	5.86952464038606	5.87878804959971
"AC000123.3"	4.59199370311601	4.38754770988055	4.81203172077734	5.23582759644637	5.17800188425041	5.2666378135652	5.53105778712255	5.21580852894902	5.51429869967888
"AC002044.1"	11.2092104945334	10.9230036196279	10.9534508305672	11.1828649962917	11.0701486009016	11.1373771083446	11.0410924213636	11.0117246765857	10.653929697863
"AC002059.1"	3.98815767283421	3.53346052560947	3.85811533674015	3.82515675262444	3.88967825891034	3.87857289494104	3.89227584917517	3.86895614783618	3.88639601532514
"AC002064.1"	2.93710046373305	2.95969622725269	3.11955641933693	3.24632791690044	3.1347725524157	3.17994432983189	3.12543999746963	3.06074510021907	3.07329692197839
"AC002070.1"	3.46391732700608	3.58692085133367	3.51320824230937	3.65243660627542	3.51869645728368	3.4336796324225	3.64304374674968	3.48005469688587	3.56794305820203
"AC002094.1"	6.95643617113521	6.6055181553496	6.51958331651093	6.74992228786329	6.83170253727385	6.83688055025991	6.83197832285471	6.99068392973399	6.60904892812193
"AC002094.2"	6.74618712131971	6.25168901063118	6.24857102652619	6.86883709084117	6.94874785535527	6.76899621464076	7.1938728073148	6.94706605512253	6.84369156279071
"AC002116.1"	8.02505575614334	8.00219016012691	8.06091426288082	7.81460443266553	7.9070031132405	8.1342221719221	7.61847424246713	8.25090676970448	7.75447754585781
"AC002310.1"	5.69068155107941	5.20399350411228	5.3357524036844	5.7555144611397	5.44439744497938	5.05377562827992	5.16611864955253	5.06929985898226	4.84909551317988
"AC002310.2"	3.57111699307299	3.36357837212994	3.57526172363028	3.78793687010922	3.46418100712586	3.60096823020684	3.8074275128067	3.48856109345528	3.56211542798972
"AC002347.2"	7.56242648811105	7.42919687779592	7.35441556336206	8.18530566173279	8.20773237437322	7.9066002871586	8.31696208634374	8.06805391642133	7.71245504571677
"AC002398.1"	5.31628278929301	5.13365443616284	5.0377634255983	4.97732760013274	4.88569956654923	4.93973113459623	4.90550116605954	5.0531963133206	5.18983640788018
"AC002398.2"	3.69998997636359	3.82299837012986	3.73362999437857	3.68278103738578	3.53222382998573	3.92051028770658	3.68577439105692	3.87882842145966	3.79655280997556
"AC002463.1"	2.40818088556415	2.5048537142274	2.71530327211222	2.17179151692048	2.33952069528138	2.56903157234838	2.53230990626862	2.47245826859559	2.79127262874263
"AC002464.1"	2.87763533798771	2.68037871413725	2.5964199815451	2.77299527141683	2.84185997280806	2.76015183781177	2.72864155370649	2.6282169768078	3.21713393651333
"AC002467.1"	6.24357734445839	6.06767896781015	6.12367006684292	6.47371404285692	6.39270276665875	6.64746760097161	6.08111166714609	6.78018101983599	6.08729692113765
"AC002470.2"	4.78434510568197	5.04570549409171	5.01474513028235	4.93801643259381	4.87088411501866	4.88721627358245	5.12217711571575	5.17418910733451	5.3039581640492
"AC002480.1"	3.35039264631143	3.30568777188462	3.51813406920872	3.6695931521545	3.35467987242028	3.48348094785032	3.44183195686878	3.47366233080151	3.80696341254475
"AC002525.1"	3.06542865138112	3.08669429891413	2.98452992073754	2.94028869268206	3.33978957368309	2.96809138977559	3.0093578294799	3.15506394929946	3.41612258853148
"AC002550.1"	4.97594720359066	4.69348421335214	4.81811688610236	5.17490331044372	4.98648871884567	4.83779954977662	5.47093772881861	4.73537845937585	5.06074703907982
"AC002553.1"	4.92263732557274	4.95180758023191	5.03963906010122	4.86153794717897	4.65025415583496	5.08077962519109	5.01570393600475	4.93751880322954	5.61927863564444
"AC003102.1"	3.64851310860362	3.60743133615702	3.51179494544061	3.44683911961406	3.36818589267196	3.33068243541085	3.5315955725794	3.43786968769772	3.77126371331487
"AC003681.1"	5.0367753533858	5.14061494652452	4.94774452328185	5.02131874577064	5.19339075189276	5.10159892455233	5.04726443796454	5.16851705965492	5.41696667707103
