"ID_REF"	"GSM1431116"	"GSM1431117"	"GSM1431118"	"GSM1431119"
"A1BG-AS1"	4.29984217922906	4.15129396763717	4.27088463601054	4.18087220870156
"A2M-AS1"	3.85577070319386	4.04395983667322	3.75365039542826	3.7468752975539
"AA06"	4.60132517908692	3.98182234371004	4.28419732037804	4.61426040209275
"AATBC"	6.48655154058534	5.1339562829624	5.70698023198403	5.53931285948003
"ABALON"	5.85558506452362	5.04595266884796	5.41708767490623	5.41900780866322
"ABCA9-AS1"	3.09927810868169	2.7455539057136	2.99983676671202	3.06420750191638
"AC000032.1"	6.48514344324618	6.33731106531247	5.66497774308726	5.58417949091076
"AC000068.2"	9.6190197751141	9.77711847606315	9.66499059249772	9.64500807452681
"AC000120.1"	6.77560468554836	7.57857625613417	7.29355293989519	7.76104873765169
"AC000123.2"	3.50128236664646	3.72719919560964	3.6852599291522	3.80767343731574
"AC000123.3"	3.48951995741164	3.86141740990517	3.66067698300217	3.78331150232307
"AC002044.1"	11.2004097968086	11.5714499624636	11.4646591267611	11.4477736304697
"AC002059.1"	4.7901934060214	4.81410727392371	4.86982102636649	4.72650922342949
"AC002064.1"	3.19193910597157	2.97841716119485	3.38155140590156	3.12191034004075
"AC002070.1"	4.12701542342538	3.92537308127693	3.92903806816812	4.09474579385267
"AC002094.1"	7.78828501888897	7.36171064513034	7.71964288714901	7.46914737224557
"AC002094.2"	7.28528896926531	7.06996529800009	7.28469128685679	7.25795015742649
"AC002116.1"	6.19479248926186	7.00582749889925	6.2380098955777	6.21996717555503
"AC002310.1"	3.41269341150073	3.74306926029892	3.37222800496627	3.53267964616792
"AC002310.2"	4.13963814391042	4.1391650859357	4.01056979564354	3.93427707665357
"AC002347.2"	7.0319376441369	6.49739242554836	7.48533195163371	7.16243204329973
"AC002398.1"	4.2678758463297	4.35245042024868	4.25488785984081	4.25428937882985
"AC002398.2"	4.0516441561924	4.5776812399934	4.09584339121887	4.2058679809799
"AC002463.1"	2.9520242624953	2.92270356196356	2.92879583962906	2.90713367135168
"AC002464.1"	3.26387180026481	3.38591310686702	3.24460617823265	3.15178260452345
"AC002467.1"	6.70692341838862	7.4653663591987	6.36837525187429	6.41178565133841
"AC002470.2"	4.83624020404781	4.7426404552323	4.61029883865257	4.49357695494424
"AC002480.1"	3.40881011342975	3.3331406837794	3.20104473306785	3.31577321402166
"AC002525.1"	3.6829774459664	3.77044567566381	3.93275698237873	3.85335376098289
"AC002550.1"	4.37136703481274	3.94577537022118	4.61426040209275	4.4543061521636
"AC002553.1"	4.11137673485167	4.29826751958199	3.99879364189091	4.31893716327561
"AC003102.1"	5.04753477853368	5.53923194612055	5.06116099014394	4.7612213714746
"AC003681.1"	5.1448694996343	5.13960355003064	5.19215296117366	5.36434941732482
"AC003682.1"	2.93667402757094	3.21472239498537	3.13967706162206	3.09072048892831
"AC003958.2"	2.97228021826071	3.11515166201451	3.01006003037069	2.96684026667869
"AC003973.1"	3.01247150078585	3.12067087328666	3.1964787806047	3.12806835924662
"AC003986.1"	4.15772607014611	4.06618313607716	4.02502530035563	4.16241840704487
"AC003991.1"	10.4148460198775	8.19040902915687	8.57509418203649	8.68830243375261
"AC004009.2"	3.22025699310225	3.03969237972657	3.5557069788702	3.08043507556154
"AC004009.3"	2.90328000613914	2.67561989375377	2.94285434657051	2.90485415350147
"AC004023.1"	3.14253657386918	3.25780802656854	3.06781591218891	3.1510921593149
"AC004039.1"	3.36829068673309	3.47183913253667	3.58050336737732	3.52027506852831
"AC004069.1"	11.5932840318666	11.6325520712253	12.012919744064	11.9367241206234
"AC004076.2"	3.67359274708922	3.51994505741562	3.76231856486194	3.82789730247355
"AC004080.1"	4.95096512452371	4.26217711443613	4.53987554629759	4.94223341752207
"AC004080.2"	4.98963856602742	5.16271060969627	5.11282736504913	5.02366449511515
"AC004080.6"	5.27430664403854	5.25071115949091	5.61288910225093	5.15435259653702
"AC004130.2"	7.32274327662718	6.46758078433897	7.55608104769989	7.29800358067963
"AC004148.1"	5.80404521756697	5.9137320099271	6.29015181023228	6.49600451481147
"AC004156.1"	4.52205637380268	4.50138854070861	4.52927969747443	4.37919542414544
"AC004158.1"	3.1472240000124	3.1385909377062	3.46035273226579	3.08248023414549
"AC004160.1"	3.39676159176013	3.46799630004353	3.10347566717351	3.63237524766914
"AC004221.1"	8.42669734145304	8.61241157360836	8.56388808192441	8.75414684156444
"AC004231.3"	3.14128569885702	3.05045203291914	3.04878792336254	3.21189391054663
"AC004232.2"	6.34892025598178	6.38730514655366	6.8784399961238	6.66459943180388
"AC004233.2"	6.44471664705214	6.77746247950146	5.92091736329961	6.10599039232027
"AC004241.1"	4.67557312833321	4.34526463334413	4.78131258987158	4.59102366345671
"AC004241.4"	3.30112764093473	3.00711745864303	3.19303890918755	3.24978591673288
"AC004241.5"	3.25442425011805	3.40337606298965	3.33665476599962	3.42834265381662
"AC004264.1"	4.20975106780529	4.77723095223985	3.95834645775213	4.12651867891627
"AC004408.1"	3.66304507121834	3.70769502331897	3.6392643381105	3.6736642744178
"AC004408.2"	4.79171236245695	4.85082211126679	5.13083031044968	4.98482723595233
"AC004461.2"	3.78741289858049	3.87027036936996	3.77025637201706	3.73842232856322
"AC004477.1"	9.84314455289686	8.61929297177915	9.87014243404598	9.5667977721696
"AC004490.1"	3.71967188074008	3.24805824523365	3.6115563691324	3.87376182119782
"AC004510.2"	3.7129517902794	3.96262715601982	3.56635377006273	3.43872246069788
"AC004522.3"	4.03407883386302	4.38387449300982	4.24288142736003	4.35891211658819
"AC004528.1"	3.20464438785924	3.19501759357215	3.49078549664997	3.38929127766767
"AC004540.1"	3.84575939383031	3.56310512608286	3.70588171998652	3.73368590612991
"AC004542.1"	7.70905600273189	7.4927440140658	8.26927711504144	7.81341053555283
"AC004543.1"	8.49822489160987	8.44089312087626	8.59842219465163	8.7752448140433
"AC004590.1"	3.42535798831754	3.60493698087873	3.32463905918849	3.3347741147917
"AC004593.1"	4.03800518004546	3.83583144736573	4.03337876424512	3.80368344703098
"AC004623.1"	2.85386825952571	2.98323572717066	2.88573723079606	2.79688728621929
"AC004687.1"	6.11403806417977	6.59238482187311	6.1972875366924	6.07842678210279
"AC004690.2"	3.13258562132508	3.16262702617906	2.94504202898711	3.27239904627952
"AC004707.1"	3.41265393772635	3.55034067657894	3.47768017087552	3.5103337181366
"AC004771.3"	6.8059193786821	6.57591595644603	6.89281420123357	6.56281660815326
"AC004784.1"	3.5276796981288	3.55213445851344	3.41429567490511	3.31347840544443
"AC004801.3"	3.39890868555737	3.19150307543001	3.19211674780858	3.25002675869791
"AC004803.1"	4.17492616627073	4.16091868468245	4.23789482356382	4.35594351338806
"AC004812.2"	4.7748285526955	5.11361772663762	4.76057060325352	4.59837719330502
"AC004816.1"	3.22497768065165	3.20163249898644	3.2000298931045	3.32679699198578
"AC004817.1"	3.49238594742668	3.52288210511063	3.29725843895317	3.34723664327291
"AC004817.2"	3.88783970807781	3.55490675096418	3.5998338765824	3.76602660093489
"AC004825.2"	4.0756221788953	4.37743708410303	3.97879919595264	4.06349476318501
"AC004830.2"	3.57096806418269	3.09016079772373	3.36125256355494	3.37330814033491
"AC004832.1"	3.91197203918213	3.90775440412467	3.83424637743668	4.01455617326923
"AC004835.1"	5.13210600612589	5.47964544288127	5.29204667014425	5.30092396943892
"AC004836.1"	3.48739882140851	3.3973632728901	3.36924427315266	3.40913322525678
"AC004839.2"	4.20260182826677	4.4896831976762	4.15668348314859	4.17172329449486
"AC004846.1"	4.21197484023504	4.52912185375128	4.0049685030739	4.11630338678434
"AC004846.2"	4.39972575872906	4.26575585782832	4.42816447369941	4.50646525780262
"AC004847.1"	8.92758084237377	6.41140993986372	8.67608246434288	8.55994426022954
"AC004852.2"	3.35840016328063	3.28824238863342	3.3000247991196	2.87954561016782
"AC004882.3"	9.04992445086505	9.60408699428753	8.54823636848321	8.80941694893557
"AC004900.1"	7.99809570070309	8.2238460710756	7.1944843309614	7.59600669434917
"AC004908.1"	3.74274086398865	3.74550742044341	3.51621605391584	3.60331994677701
"AC004917.1"	4.16712866249306	3.98012143281037	4.16505579467439	4.10452043080303
"AC004918.1"	5.3773566777172	4.42495746958228	5.45266867514939	5.62674420398384
"AC004918.3"	5.31168433308745	4.8928520912849	5.39437209556962	5.34322818490409
"AC004938.2"	4.09597866001517	4.2542971576678	4.00544107876921	4.15348155287387
"AC004943.2"	3.97539739788227	3.93767541330436	4.01244892197995	3.99472850021195
"AC004944.1"	3.42399274107421	3.25733156783444	3.09664274396273	3.07350609442827
"AC004947.1"	3.53341534929389	3.40948372998129	3.59275461507088	3.66597652558532
"AC004948.1"	3.01461238968103	3.04899090415384	2.92696533270973	2.7642747253147
"AC004951.1"	6.89363268292539	6.44469008849188	6.64857687429781	7.06892167072951
"AC004967.2"	6.69927458917937	6.39180573717889	6.76136443447395	6.65882175700622
"AC004972.1"	2.87414588550925	2.87326896924146	3.033655195386	3.1193479553323
"AC004982.1"	3.0914476296789	3.47732782170135	2.98259473416082	3.07761630563669
"AC005005.3"	4.50076240626912	4.25571418245281	4.44580313002363	4.29897970337217
"AC005009.1"	2.84309105147187	2.89526802043622	2.91929309442937	2.77278850706934
"AC005014.2"	3.25484116972135	3.23335840775258	3.23607336197233	3.27365923528668
"AC005034.5"	3.5577951786625	4.59278958929057	4.68840440047202	4.38987952624926
"AC005037.1"	3.13981310247841	3.27517200384108	2.98032672316441	3.18622936645254
"AC005041.4"	4.45073145523794	4.18465550014119	3.94306883642131	4.11661692870494
"AC005041.5"	9.66735817321532	9.79890451420857	9.38846156108541	9.48444292727606
"AC005062.1"	6.57296833576023	6.65388125594357	6.43543037700725	6.52709934120896
"AC005064.1"	3.03598518714062	2.9423597824244	2.88840529821206	2.87653419994531
"AC005072.1"	4.50342205245606	4.37919542414544	4.54870220293155	5.13707481637924
"AC005076.1"	4.52530107654271	4.89040346160392	4.85801118791775	4.77452589982997
"AC005082.2"	6.05530864688898	6.69825375233676	6.72645912613825	6.88873195283318
"AC005083.1"	9.97241881574181	6.78636418550167	9.16662423446827	9.12326203064192
"AC005162.2"	3.52045192378527	3.48892655731389	3.25652354069763	3.38664428734455
"AC005165.1"	4.29223403416822	4.16006095567579	4.05299306220479	4.35114910338151
"AC005180.2"	3.36406059088288	3.34123303015015	3.17844290075387	3.43260974164658
"AC005197.1"	5.54666251951309	4.54933359025356	5.05105039170266	5.0758712220627
"AC005224.3"	5.2155896431293	4.84844220773579	4.78105716780397	4.73143635262959
"AC005225.2"	3.74380556386217	4.00323600796459	4.07063888299943	3.67144861953747
"AC005229.3"	8.0910870478149	8.289419047829	8.16768687592329	7.94885451176365
"AC005252.3"	2.88390389116477	3.03134972345546	3.25016453704205	3.02098452704075
"AC005253.2"	7.19381215181429	7.09705335919484	6.96853299782028	7.00333843091006
"AC005256.1"	5.23585635194595	5.07266650309068	5.2281086033676	5.44365792097076
"AC005261.1"	7.60521340319891	7.02047807245587	7.59456121198482	8.33317332896337
"AC005261.3"	5.07243337876578	5.59231314548843	5.16158391741014	5.21055517465185
"AC005261.5"	3.73745509023505	3.68125722926746	3.76909007719683	3.82577436639341
"AC005288.1"	8.17556760423478	8.3357608644979	8.28491991264375	8.48999836871293
"AC005306.1"	6.75275253151633	5.98195679311266	6.57106078896235	6.4828912442588
"AC005329.1"	6.1199881880002	6.60297816989529	5.93793648815124	5.90109200526675
"AC005329.2"	5.26067026717682	5.54236723962611	5.75708101293598	5.73320474789987
"AC005332.6"	4.85959941765097	5.36905573449627	5.06389073156001	4.86398832721738
"AC005339.1"	7.65417039502867	7.87041152436148	7.26362776938416	7.26916134827036
"AC005343.4"	4.12005875705517	3.66378256936522	4.00492704873197	4.20141184865659
"AC005355.2"	3.73123143870825	4.13861625599198	3.31001023172966	3.67092451547433
"AC005391.1"	5.10270608626505	4.84177068042002	4.88153581450382	4.75322221161943
"AC005392.3"	4.36463216617933	4.3126949209001	4.46395221535901	4.56637436146244
"AC005394.1"	3.57687647932938	3.59183633987266	3.34893675743782	3.6304100620098
"AC005410.2"	4.75292697994557	5.68531855570745	5.32008290753689	5.12638073689989
"AC005498.2"	3.62511835491507	3.75269248065239	3.3533503455546	3.71581961465818
"AC005498.3"	4.53846961249771	4.57202623196025	4.11018869901489	4.46654295697821
"AC005515.1"	3.92018986907011	3.6797641928713	3.74491502977489	3.73471913346041
"AC005520.2"	3.62796971812848	3.58258799988707	3.62447856966422	3.63526589402979
"AC005520.5"	2.95038492874908	2.91177346332959	2.98842183589753	3.01099226181055
"AC005523.1"	5.29915962278162	4.72425690180442	4.91153790419141	5.02905211419186
"AC005523.2"	7.69238023572764	7.12425534005559	7.51745775332041	7.55838025084531
"AC005537.1"	3.23878033316474	3.03181848828721	3.0300720525673	3.30877095801481
"AC005546.1"	6.40474951325698	6.0613051898714	6.69283875075651	7.12122622857215
"AC005549.1"	3.96105169480422	3.72805800920711	3.80176007096175	3.564977436183
"AC005562.1"	5.18913815491933	5.64709702151533	5.30579506614918	5.33821007928059
"AC005586.1"	5.07188403095981	4.84598757718137	5.19330901736463	5.04155973869342
"AC005592.1"	3.14052553222673	3.19602543071961	3.07775681252842	3.08218887001548
"AC005606.1"	6.31074843727202	5.58379417491643	6.84980851914051	6.61807942833023
"AC005606.2"	4.9822864538544	4.54986400082996	4.95222112925607	4.84825205724578
"AC005632.3"	6.14355671052048	7.26239697103279	6.98175118717734	6.99981139384036
"AC005670.3"	5.39532686858975	5.55140448539099	5.5329580249574	5.68040112528887
"AC005674.1"	7.83705665885712	7.03183857581162	8.11425133583993	8.01727299481339
"AC005696.2"	9.79425293988246	9.7542845761211	9.9532109204703	9.77266558468483
"AC005696.4"	5.23880968766755	4.92297576185776	5.23631377331186	5.37365689185768
"AC005722.4"	4.75292697994557	4.45064807247499	4.91404200080473	4.76547132039733
"AC005725.1"	3.27288574799643	3.64409578393105	3.5729655421403	3.44988586231124
"AC005726.3"	5.62482579138668	5.42824822113781	5.56776472083622	5.37626743015702
"AC005726.4"	4.30996015756246	5.22468041080241	4.84555842972703	4.85927662849934
"AC005730.2"	4.2882037278722	4.09040058947984	4.27856957706578	4.41745654826993
"AC005759.1"	3.8175141831181	3.94146357507294	4.24539109051454	3.92397632821785
"AC005772.1"	3.05249038321516	3.19621334094509	3.07411216428479	3.00389825160901
"AC005776.2"	3.4112746616883	3.12757837653073	3.32524649727273	3.47626627581836
"AC005785.1"	5.6751541691684	5.42949364402433	5.75034253775945	5.58364702251365
"AC005785.2"	4.20030753231663	4.13409725393281	3.7729571756489	4.80669944553075
"AC005786.3"	8.43129633299393	7.82821884990492	7.89804988676673	8.01108144773617
"AC005789.1"	3.3995395317541	3.76214266076592	3.11660696382673	3.50588668773192
"AC005828.3"	3.19986829343617	3.29153494399568	3.01563693675048	3.08006952927213
"AC005837.1"	4.54924879961273	4.69185770082103	4.73505882186302	4.45119241864445
"AC005841.1"	8.39106368412691	6.37301975436364	7.52323097583987	7.88798220252713
"AC005906.2"	3.9640663844487	4.28776131608477	4.35593905891997	4.40151208405343
"AC005911.1"	3.73330839677473	3.79062159468334	4.13419380485522	4.05606354777024
"AC005920.1"	4.49310562480991	4.53338985851627	4.51638670712864	4.33408972772484
"AC005921.2"	7.47797970564661	7.60717606268835	7.41437414601229	7.339771382399
"AC005943.2"	7.63691068828297	7.17255198938213	7.79032493674418	7.71797789434119
"AC005944.1"	7.04866532329628	6.36793210662486	6.96561546989943	6.94017463366684
"AC006027.1"	7.65919130678301	7.24180786906155	7.80933759011721	7.47054677112618
"AC006042.1"	4.43385632167985	3.93977611707216	4.29900297065647	4.39451262033707
"AC006058.1"	3.38419533761749	3.11042999086293	3.06565586682135	3.36096010600761
"AC006058.2"	3.56642711597369	3.47812316129694	3.41967396956143	3.2953350337033
"AC006059.1"	5.43957813663509	5.41475996775864	5.51469234516168	5.86152917646148
"AC006059.3"	3.73724796208412	3.88442624107723	3.91793284457193	3.83371140328049
"AC006059.5"	4.52787103864882	4.77311185053113	4.40108659202217	4.22678571834497
"AC006064.2"	3.01727506586469	2.98813528856773	2.92683165537539	3.06186410010289
"AC006064.4"	13.3489044792291	13.4752002326056	13.2448019827724	13.1405946400043
"AC006065.4"	3.27500871562078	3.34475455052662	3.4972874435217	3.35664755152433
"AC006077.2"	3.4592073319841	3.632757951862	3.90745065663782	3.54881712766981
"AC006111.1"	5.77235104707095	5.8174357437334	5.80157513062799	5.74903064241262
"AC006111.2"	3.44581262081952	3.49561264912961	3.63711254610598	4.24011577145966
"AC006115.2"	3.15585998876364	3.04683712209726	3.09771400410374	3.15759230298806
"AC006116.7"	4.12280708118072	4.10283076129637	4.04501264487037	4.03492952335735
"AC006128.1"	5.20175139527055	4.66012049459615	5.13874166488861	5.18781042819743
"AC006141.1"	2.9281222753925	3.16724843770313	3.27115345051259	3.102604640215
"AC006205.2"	4.45491358178941	4.3673933519608	4.36328743934695	4.41743261642356
"AC006206.1"	5.15056524021855	5.3859742149488	5.19773790409776	5.09529783113665
"AC006213.1"	4.41766486997679	5.21993265879128	5.03527930456103	4.77580694328581
"AC006213.2"	4.75843600326247	5.17705617291879	4.70510802829297	4.94626194222743
"AC006230.1"	3.31683807416178	3.53367754495144	3.34282415227055	3.59928028449968
"AC006252.1"	4.81576762388391	4.83736299287077	4.82390944469488	4.61426040209275
"AC006262.1"	4.12170326121857	3.78154458599783	4.13550440337801	3.88537048617795
"AC006372.3"	4.02843798645687	4.23510574314757	4.68513277968938	4.09273749738097
"AC006372.4"	3.74323665600562	3.44615902655356	3.7028983028513	3.65933288343493
"AC006441.3"	11.291210323014	10.659638763055	10.894479692482	10.7556764047171
"AC006449.5"	4.1352567330293	3.71434823266516	3.73007519416496	3.98957120514557
"AC006449.6"	7.52639485520093	6.32872604465313	7.42001653142631	7.38873578420545
"AC006450.2"	3.61410742193128	3.59455146987159	3.77684784285191	3.97003009609076
"AC006455.5"	4.64365630222732	4.15102258931749	4.48295536144279	4.83337190156152
"AC006455.8"	4.2666438536722	4.01523570231478	4.15471499432298	3.91482522529954
"AC006460.1"	8.25095617503367	7.46829858487891	7.82752280153236	7.64091934066859
"AC006504.1"	7.11145937151809	7.54382273420937	7.60938621551133	7.56899560404499
"AC006504.5"	5.29579654906946	5.7473129227637	5.73084192297847	5.44847415680378
"AC006504.7"	3.28308323577688	3.48417363319672	3.45237403796538	3.28009858402668
"AC006511.3"	14.3257031123596	14.2937937242361	14.4768542325275	14.4391154682944
"AC006511.5"	7.64317504443655	9.39490841723533	7.84610760155743	7.75904003646304
"AC006538.1"	3.60430573513489	3.34485085882993	3.2609762898157	3.25119649536373
"AC006547.1"	7.63993028439359	7.53405211428196	7.73269648645248	7.33755524858161
"AC006547.2"	7.1546132533996	6.2962859832339	7.65743402344991	7.86155375281345
"AC006557.1"	3.451599149717	3.63563196663954	3.35452454444632	3.42416931618711
"AC006557.6"	6.67641901471642	6.29072272053919	6.57748696490704	7.31006792130655
"AC006840.1"	3.58197051863022	3.68148378164565	3.34915306615603	3.6787151046271
"AC006960.3"	3.34475455052662	3.25728565530413	3.40872923974303	3.03729342642585
"AC006972.1"	3.15471781717882	3.43520621839949	3.08922948040767	3.04976708291516
"AC006994.1"	4.8991743636142	4.60759397674815	4.62441797207733	4.85416913815825
"AC007009.1"	3.34475455052662	3.5975969949447	3.60536372123053	3.35890494726269
"AC007012.2"	3.4418501919383	3.41923338859392	3.3030337046097	3.24643294009102
"AC007036.5"	3.87641602435543	3.78314556940133	4.04446036937549	3.74561927511266
"AC007038.1"	5.22335751825167	6.10718359677148	6.41596459398291	6.69289599622929
"AC007066.2"	5.84150232294073	5.65242650592214	6.22437887099877	6.26209108752738
"AC007098.1"	7.08073599413289	7.7845538308028	8.14148031502516	8.05414383168663
"AC007099.1"	4.50928675261193	4.20833455328539	4.18444891845778	4.1545768457558
"AC007114.2"	3.66694065367252	3.92765985734258	3.66415213522376	4.19720619107811
"AC007161.3"	3.43914485364202	3.33487797519289	3.4757416407475	3.50190760467911
"AC007191.1"	3.30826991588723	3.34932953049353	3.25899715686393	3.10544236735532
"AC007192.2"	6.68221616849724	7.26903131782916	5.10993248014198	5.712275045092
"AC007222.2"	4.35529961207442	4.55284530742882	4.1266050602722	4.39514553282212
"AC007255.1"	4.17238709958549	4.19910340668762	4.1160422740271	4.10452043080303
"AC007279.1"	2.90328000613914	2.85830514777518	3.15127313772103	2.95823815788991
"AC007292.2"	5.04970588804916	5.39166692010643	5.04213520371645	5.09821233397219
"AC007292.3"	6.89043448416826	6.98051674467317	7.04506864805337	7.44779724426389
"AC007308.1"	5.16673372185852	5.90782549461173	4.86323638629181	4.94487698696526
"AC007319.1"	5.66881921109768	6.31770712711347	8.29641202421092	8.99955362621305
"AC007336.3"	3.72762762971425	3.89481283232638	3.5338481403945	3.61473264917821
"AC007342.5"	3.73595984542116	3.48849467103968	3.5262999566919	3.32795684903436
"AC007342.6"	5.83837365224124	6.30211622577475	5.33409750046581	5.94532121920858
"AC007349.3"	3.20741030917574	2.98108728731312	3.02125721003366	3.21522356881062
"AC007362.1"	3.75334255483188	3.62766924959205	3.79807342157025	4.07465810246693
"AC007365.1"	4.6131236208332	4.59283314270055	4.25285276982248	4.83570201204106
"AC007368.1"	3.49155775439471	3.46867279632921	3.32232615439101	3.32009039139143
"AC007382.1"	4.207867399019	4.68975523532917	4.73901918050485	4.50283250492626
"AC007383.1"	6.12510369506147	7.55258151926849	6.17766609044152	6.21977472096694
"AC007383.2"	5.59392592151589	5.49455119362427	6.9900475241749	6.82248556779367
"AC007387.1"	8.3622854570313	8.55546586780361	8.15049791559949	8.42962347741844
"AC007389.1"	3.26295967954162	3.27141693642059	3.46867944481972	3.41567635329659
"AC007389.2"	4.27637102871663	4.3280447183256	4.20439228293802	4.34371216345828
"AC007390.1"	9.3351284112768	9.37982474516513	9.3053229467184	9.61352942055344
"AC007405.1"	3.30721707042553	3.18871007175464	3.2963194932749	3.34856158838334
"AC007406.4"	4.59440362705877	5.39545787898213	5.17689763615667	5.26278826281132
"AC007431.1"	3.53737020788225	3.81290276305042	3.79630310443603	3.82348485246403
"AC007448.5"	9.11410408501196	8.92220416347885	9.88497619497748	9.90340535334589
"AC007485.2"	3.86814909948635	3.87801345077007	3.91021747218098	3.89499650609831
