"ID_REF"	"GSM1209564"	"GSM1209566"	"GSM1209568"	"GSM1209569"	"GSM1209570"	"GSM1209572"
"A1BG-AS1"	5.93310490328325	6.25438251981081	6.04969552451507	5.91147324711891	5.81168403871559	6.06506890087993
"A2M-AS1"	5.56196875235457	5.40356408096716	6.02149145721677	5.55194342432378	5.04006151998747	5.50720095526937
"AA06"	6.38198876409055	6.50488481761132	6.1334819802928	6.31564519937879	5.83966060009409	6.07972743787455
"AATBC"	6.70828791349945	6.58271163929147	7.44838444784208	7.03855343168423	6.40945231546153	5.26077306939898
"ABALON"	6.93192942649083	7.42726898067636	7.10187369513925	7.19604130004054	7.08159265274062	6.85236197586203
"ABCA9-AS1"	3.78165878791992	4.18619954151581	3.66342592179195	3.92314834563638	4.15822081403776	4.00178016804704
"AC000032.1"	7.86774247687323	7.85017595289843	7.5589180307216	9.0382475108168	7.79928985709937	7.73222042985216
"AC000068.2"	8.796347137684	9.0398677768257	9.60494407405947	9.34291446134195	9.01014957116894	9.66498466173541
"AC000120.1"	6.46924260585303	6.1164821843714	6.99338843344922	6.43615573767602	6.02584878907666	7.51715394982782
"AC000123.2"	3.70171622573436	3.71057468292707	3.94654051886999	3.87925218237759	3.99614392854592	3.94694512230829
"AC000123.3"	5.06690914064128	4.81558683822477	4.93987783532362	4.79788241290173	5.35353583659971	5.05743589726531
"AC002044.1"	8.77898728971	8.85531970690469	9.52433177416043	9.08966494827301	9.0894116378852	9.76980290656577
"AC002059.1"	6.90164993924621	7.10275980662797	7.02632414817569	6.77185336115609	7.60128065345114	6.86792840337362
"AC002064.1"	5.02291126861202	4.88561846721908	5.02060553190434	5.30451012799609	5.28276084260157	4.59931749626039
"AC002070.1"	5.89812200602054	5.93881836448692	5.80447374350457	6.03622796073282	5.63396584995885	5.28187891639049
"AC002094.1"	7.16238376303354	7.29352106367401	7.62099714095604	7.40196333259859	7.02065701001149	7.80610780395481
"AC002094.2"	8.54690674209553	8.4281262538306	8.73301750648193	8.68212365975835	8.53104332769457	8.71681207085015
"AC002116.1"	5.04567901322496	5.87629273064409	5.06946972156597	5.04733756897155	5.56311061788633	5.2828686753887
"AC002310.1"	5.75836362811375	5.65433946579915	5.47236223895631	6.20201518336791	5.71444010776422	5.97771094991991
"AC002310.2"	5.40142186055286	5.94686963070199	5.52762035339294	5.44637254506832	6.01051184663925	5.42573785872901
"AC002347.2"	6.12420040784438	6.55152058303325	5.67957877321758	6.52678997769973	6.44375593086124	6.72417057189536
"AC002398.1"	5.97259890132405	5.88061487188182	6.18770020582142	6.07659870769831	6.12037788713303	5.99699811612821
"AC002398.2"	6.21369710380209	6.34054378393128	5.72141526438906	6.16581353988536	6.33041653283481	5.79734016896904
"AC002463.1"	3.93419535190753	3.74186924349002	3.83886616303505	3.74416042941821	3.60844436075641	3.77106604614958
"AC002464.1"	4.21688341345613	4.25394710476293	4.28231424739923	4.14264750768983	4.31565193470154	4.05272611000076
"AC002467.1"	6.27656571112997	6.11131019743011	6.34384905569445	6.27711477990897	6.47365748336546	6.06521291416917
"AC002470.2"	6.02240833900875	6.26543638659458	5.79486043108441	5.79953745922035	5.99273473962099	6.01384496969968
"AC002480.1"	4.91530396750773	5.180084455858	5.2902205106988	5.41487077645384	4.9441027901702	4.59843955647296
"AC002525.1"	5.45316788840124	4.66549887367616	4.89107638862936	4.96728057844184	5.21860812667451	4.55697855198461
"AC002550.1"	6.27600502555759	5.61742302174101	6.20155651314315	5.78559178889811	5.86111410085403	5.54094228847397
"AC002553.1"	6.42638671589208	6.26936236976071	6.27140800721129	6.49692188387353	6.62103011818261	6.0249801092779
"AC003102.1"	5.79163478673666	5.82294150222322	5.90086419762944	5.8911844804136	6.02318036207532	5.89229293078065
"AC003681.1"	6.43771064771208	6.51557636466968	6.40836901066716	6.59495364515334	6.21143229425425	6.71002936925104
"AC003682.1"	3.68217197974918	3.77016646882361	3.68316504129243	3.68614441255824	3.87795584459209	3.46608886905481
"AC003958.2"	4.50912393829691	4.66109977885808	4.51488301098837	4.73940396664101	4.52188310718971	4.45150950573972
"AC003973.1"	4.92005883921966	4.74458350352824	4.69920315905298	4.92438383361797	4.70501472400031	4.55692863035755
"AC003986.1"	6.46577563059479	6.54268975431547	6.2536132183303	6.36815349948044	6.22080293631146	6.00490935694524
"AC003991.1"	5.84099006015572	5.43501914405329	5.01465644872859	5.83412854544888	5.42484662719765	5.32935895397487
"AC004009.2"	4.727961681038	4.24925697756681	4.24274342698252	4.43194849943291	4.91043879630733	4.2215879983238
"AC004009.3"	4.30496062144777	4.25155180157268	3.98358563076218	4.17793889425296	4.39118563523953	4.08866871305943
"AC004023.1"	4.42032220079796	4.05849318005957	4.49947166839821	4.63528412654446	4.29591809744032	4.14078003956483
"AC004039.1"	4.63688010509803	4.79721524955195	4.67421024538663	4.39224631825689	4.66038410045551	4.72687184676088
"AC004069.1"	11.22843727946	11.2738739642128	10.9307284351359	11.2680592037902	11.0916765919385	11.4345150636582
"AC004076.2"	5.70010357842886	5.79649240483676	5.44186095863459	5.61933613359923	5.76193059456212	5.55217491387391
"AC004080.1"	6.263727563667	6.92261822163309	5.79538773303092	5.76347381476948	6.77985957386205	6.7387483600516
"AC004080.2"	6.76956541295171	6.74123501303413	6.93110331075923	6.93283766451101	6.89557197872387	6.6963831539709
"AC004080.6"	6.7887131987295	6.57878099380943	6.69849928468426	6.59795599614985	6.75355560110008	6.73589850851666
"AC004130.2"	7.30988808803541	6.88457582287578	6.72872095237131	6.7643058213336	7.22047639709176	6.15058991931356
"AC004148.1"	7.12438070239252	7.29877797265998	7.09211152358885	7.29723496829236	6.93296994796638	7.38284241191257
"AC004156.1"	7.28777754339056	7.16133039838376	7.61073275962697	7.86767327328559	6.90686204995239	6.47046687512076
"AC004158.1"	3.56107191628946	3.71612958178033	3.74439766739741	3.89772816252173	3.85430196853167	3.68796372722455
"AC004160.1"	5.03577679424432	4.56049645303627	4.80272977618769	4.85328575182778	4.74325322935138	4.50745639765918
"AC004221.1"	6.89517455399234	6.80863533685211	7.38414123012089	6.962053720707	6.70097899493679	7.63520198345135
"AC004231.3"	4.97083847763195	4.86874331347987	4.8546995202883	5.41003447913319	5.05781785420921	4.82997500592591
"AC004232.2"	6.89085501886171	7.17905044621203	6.95711146693607	6.74538078246899	6.85666365970532	6.96837766072117
"AC004233.2"	7.00267260511417	6.92933517682178	7.1963108085049	7.14435810737432	7.35683808087461	7.07612116685443
"AC004241.1"	7.02078012990295	7.05445335202795	7.24524782651159	7.03776639979846	7.10368364860614	6.61764049945514
