"ID_REF"	"GSM1209585"	"GSM1209586"	"GSM1209587"	"GSM1209588"	"GSM1209589"	"GSM1209590"
"A1BG-AS1"	5.97169363008685	6.13617066659223	6.13540447158747	6.0957481000384	5.85747597912779	5.92363526204922
"A2M-AS1"	4.54332847271662	4.82526721422275	4.76081710170441	4.59405537253531	4.59791085452497	4.68664371255111
"AA06"	6.19915345557412	6.12922583337507	6.41328122300679	6.52467301502058	6.30889380575926	6.09811429127188
"AATBC"	8.43414997245427	8.627942634625	8.48909323536673	8.23154429840566	8.20755645190633	7.51494689129606
"ABALON"	6.67828863379306	6.50604537317864	6.892886754604	6.78068446192224	6.70518219912789	6.93604319436879
"ABCA9-AS1"	3.74534926778381	3.91022445200644	3.83549703382373	4.08524618779349	3.86463484231934	4.02269916224038
"AC000032.1"	7.97317748541009	7.8717914263525	7.65666102007304	8.92539932858167	7.68536842091573	7.43562193222642
"AC000068.2"	9.73041012512256	9.72276726555419	9.56225627875849	9.2776552842912	9.5473113209877	9.18912901075485
"AC000120.1"	6.50425553269957	6.43697482480321	5.56306229624263	5.97007638664744	6.86328650383016	6.04250532850981
"AC000123.2"	3.93690254199314	3.79835570298177	3.55610436791692	3.91391306095756	3.63610656498224	3.64923186786512
"AC000123.3"	4.5485131662623	4.82780827711916	4.71403535354665	4.6498231113036	4.65694104310187	4.98061722716518
"AC002044.1"	10.1025608995256	10.1278846851008	10.4977259828927	10.2040915196562	10.7471455811029	10.0174413930191
"AC002059.1"	6.94228121151185	6.68129135919206	6.80952455070234	6.7252797206279	6.89047155419602	7.12660457993418
"AC002064.1"	4.77988040426791	4.60378228333532	5.09263054093835	4.55334148883276	4.55356421951998	5.28846890303693
"AC002070.1"	5.14790874816583	5.61757635798874	5.66037089945707	5.65386922146425	5.36145152817486	5.14500001038089
"AC002094.1"	9.15258778723405	9.04249967108376	8.57861438469441	8.81629145934751	8.85969930205363	8.27590687559671
"AC002094.2"	9.37066151891765	8.94121480108128	8.85730886988048	8.82139703945943	8.87099314365491	8.85038510835202
"AC002116.1"	5.22135180252314	5.34806077185609	5.41868120024095	5.72677371398442	5.55523637994859	5.38083314465931
"AC002310.1"	5.71152460084045	5.76492067321434	5.44318251357644	5.42847356888543	5.54206046027691	5.16744288258669
"AC002310.2"	5.06803306048088	5.07687445362678	5.2761788049586	5.7199564418165	5.44163394655159	5.52775805877408
"AC002347.2"	7.36156601875273	6.99524721624807	6.65558317483511	6.91365644800376	7.35098319238903	6.65045330020336
"AC002398.1"	5.88609736926793	5.93752120444092	5.9491581536915	5.70321741628878	5.82412788742863	5.48687717380104
"AC002398.2"	5.88422928124344	5.85842816878388	6.02691777118296	5.89328474137361	6.00157837175263	6.25792265577742
"AC002463.1"	3.92834081930791	3.84524254088407	3.7524497572674	3.84147640451272	3.74989233413253	3.95833066010974
"AC002464.1"	4.22139092571252	4.31956598268256	4.07698863966032	4.19530138807463	4.20454178328578	4.21370139138712
"AC002467.1"	6.52419206600859	6.64980595290825	7.04724720005128	6.76255532496383	6.87842447935242	6.4068243687348
"AC002470.2"	6.42301095909415	6.0412024857362	6.45597970745092	6.09779375676528	6.19417331786832	5.93708845250094
"AC002480.1"	4.79707256939018	4.84499630951822	4.91623920670533	4.79001748737695	4.61052298632304	4.79767270968722
"AC002525.1"	5.29408825645401	5.16714338781582	5.01733424086785	5.12756207242751	4.71190049611798	5.336262810026
"AC002550.1"	6.08424217860016	6.1404220047105	5.8837075429329	5.58639823955332	5.70135372436202	5.8054726564318
"AC002553.1"	6.03278441227203	6.01842396558219	6.0784473254742	6.13223779350657	5.90666786462326	6.30930881594124
