"ID_REF"	"GSM711608"	"GSM711610"	"GSM711612"	"GSM711614"	"GSM711689"	"GSM711691"
"A1BG-AS1"	4.27612069245396	4.47532930134822	4.29700732340174	4.3053619938195	4.23023357993099	4.25196365609252
"A2M-AS1"	3.65952253298728	3.68821105976793	3.84808192927514	4.68216775525354	3.58987201110461	3.64545267194501
"AA06"	5.04500556498848	4.94126377103402	5.0661621416955	5.13018158934067	4.72984717744386	4.72595245817392
"AATBC"	3.86799148515337	3.71792053247332	3.74487419970494	3.58297028420917	3.5047310443787	3.71216235322258
"ABALON"	6.95129155697484	6.83458560688917	7.25662517297491	7.39847728362131	7.26922689646839	7.19075171608256
"ABCA9-AS1"	3.01632929985561	2.72545349298042	2.7551336090931	2.5959360557846	2.96295453884005	2.84048486574141
"AC000032.1"	6.34275181814705	5.82161771361351	6.01337223361795	5.93763190397298	6.2395241413999	6.98683789328007
"AC000068.2"	9.65135026339565	9.53104981553878	8.97238062452057	8.98782171332996	9.54178612902976	9.57224281145898
"AC000120.1"	8.38343526435905	8.66642790772413	8.10321543764786	8.24622862386148	8.15843563889955	8.37987852815011
"AC000123.2"	6.20229689897151	6.44555530767395	7.44954702088079	6.97615919110693	6.48844102473157	7.07175545753567
"AC000123.3"	5.32730357877625	5.60963449545937	6.21422572053707	6.00863611144604	5.74850271322689	5.94014888330363
"AC002044.1"	10.1954011702819	10.2082201527551	9.86515232287413	9.73949694531256	9.68707744704595	10.0578639920599
"AC002059.1"	4.68550945538178	5.11432852624571	5.04589583203422	5.08105253287207	4.96671603966239	4.90141846739732
"AC002064.1"	3.49732357302861	3.40368163752036	3.52740786003221	3.60202791407166	3.57939009989885	3.70494403777617
"AC002070.1"	3.87302349772415	3.94135299687521	3.68555824355538	4.03474604106373	3.89584272251977	3.83767787620677
"AC002094.1"	7.69531543389415	7.69080700211122	7.3912421813958	7.6541529297635	7.50708370296025	7.55465553748231
"AC002094.2"	8.18175295794564	8.09845236091348	7.85144149290328	8.15358767424256	8.28086063074713	8.09240260179196
"AC002116.1"	5.73832415484603	5.95721411850499	4.98742348617163	5.36561334954028	5.76271927406787	5.86035665798748
"AC002310.1"	5.66049646826825	5.49112851459639	6.27314980553894	5.60295687499188	5.64772305032601	5.545855950011
"AC002310.2"	3.96479185534027	3.95359572924749	3.92586858716333	3.8719150513442	4.10041163026353	4.05492792866498
"AC002347.2"	8.74148577086104	8.49187074055683	8.47859475658531	8.338874807504	8.4607500703438	8.75161255772078
"AC002398.1"	5.81058770562652	5.90587998053119	5.94871836019679	6.04430674102119	5.66494194702745	5.95352562018119
