"ID_REF"	"GSM926937"	"GSM926938"	"GSM926939"	"GSM926940"	"GSM926941"	"GSM926942"	"GSM926943"	"GSM926944"
"AC005014.2"	1.88515168599329	3.44357473107835	2.67996283991226	2.87759720207906	3.14519324253471	2.68248852751853	2.23390475553298	2.68248852751853
"AC005034.5"	6.36982177829567	6.89356074467094	5.82529834113734	6.13762444523842	6.07756843861662	6.15846054726152	6.25446919408213	6.2356532889326
"AC005037.1"	6.83947406291912	6.77422763705871	6.6432040753206	6.16124177407914	7.3108360216657	7.43597881794537	7.23807967963602	7.16635985326594
"AC005041.4"	3.80395880502122	3.56174243402587	4.13133262795842	4.55675684165013	4.25947146180624	3.63481832979273	4.31304251142831	4.10789916539835
"AC005041.5"	7.23368574508642	6.11802224968422	6.72928590594294	6.40388795902538	6.87136466026196	6.76113323355334	7.22073396943298	6.95030547647156
"AC005062.1"	6.00859462811442	5.36239880247765	5.39366018038277	5.64175917727053	5.85584143242575	5.50679301158241	5.89042335149124	5.74592495374437
"AC005064.1"	1.1347162706926	1.44301709739894	1.09099070641887	1.11882891988722	1.48513935687393	1.29287308133849	1.33179584735581	1.25689364671342
"AC005072.1"	3.18099657906101	4.06769249832616	4.27018575888391	4.04137153686299	5.01840734484942	4.90989706500786	4.23710997063832	5.2615048655359
"AC005076.1"	5.07103500754688	4.76789977969428	5.39321629991374	5.85022610062893	5.15587156209653	5.20663930172213	4.389748404386	5.11395775127409
"AC005082.2"	7.76542834996806	7.53323471068937	6.82687804716984	6.87331682834357	7.19092758997061	7.48503632475455	6.96265409603523	6.863936154832
"AC005083.1"	3.78406790317886	2.93283866306638	3.39288785669798	2.88108479524178	2.80183344739619	4.18357102258368	5.37805135367178	3.85549656106295
"AC005162.2"	2.38347024222643	2.11470749232378	2.4804741861876	2.00396325511251	2.44849364543532	2.26455818760744	3.25642636942858	2.61625070954565
"AC005165.1"	2.21885035807292	2.59045009550816	2.93080386895598	2.25916544749117	1.85176412128656	2.74503465941761	2.39367612327353	2.32797390724182
"AC005180.2"	1.74415246717775	1.68378782234945	2.33137552882868	1.91016130034514	1.83590656568078	1.73150860926647	2.05929038327515	1.99050165787334
"AC005197.1"	4.91208335633516	5.02224378864139	5.03887006435472	5.57711080174392	5.04049394789684	4.94321707563957	5.23422419668036	5.11662134593411
"AC005224.3"	7.90242912772132	6.65848920216454	8.10382451262559	8.05011923239493	7.27343062128873	7.39512105714933	7.02768984467352	7.67992450654382
"AC005225.2"	1.79814478081714	2.03573376506031	2.04559633877115	2.25916544749117	2.20138935947158	2.09484339129134	2.2922938038331	1.97767140974047
"AC005229.3"	3.86673503054747	3.47195951576706	3.57377385264858	3.46184991705093	4.55283611225275	2.26020601640794	5.47260908494315	3.33586971383838
"AC005252.3"	1.80654488586725	1.55379259303236	1.30912343849711	1.54121749615453	1.55267006876611	1.29730078436545	1.65215294464789	1.60611333065935
"AC005253.2"	5.87957317362686	5.94015116848178	5.89150372913314	5.5870539592027	5.77379614724451	6.23563523101983	5.91111143496029	6.06950542201412
"AC005256.1"	4.0568578485088	4.56193206833748	4.56322420125723	4.72642292210108	4.0999677662095	4.5966949763405	4.64010738232697	4.58380280186647
"AC005261.1"	5.40368368271256	5.53981071533109	5.38781946991569	5.01028975199329	6.06500168980943	6.20493553088548	6.35562759056651	6.26747644101757
"AC005261.3"	4.96422057262271	4.99886017461278	4.57010692471422	4.37620676596536	5.43134635799597	4.92426494329801	4.90054476626601	5.41336689946809
"AC005261.5"	7.68951926075507	8.0723095836309	8.11413160126738	8.25219673308844	7.77463964038969	7.57477474998285	7.77938670953606	7.89486723864662
"AC005288.1"	7.63518280469162	7.11220169515286	7.27041947782449	7.06661056252639	7.45570113327829	7.44459532751549	7.22578379996356	7.0203101972286
"AC005306.1"	5.46821495269195	6.01570862621315	5.94549259094178	5.52097614610084	5.71395265822447	5.97546924482748	5.5229018565147	5.63996899955315
"AC005329.1"	4.97412190966753	4.54483113123442	4.77957483246389	4.87941174105531	4.88875761170615	4.72016950145908	4.89679202322614	4.3848184470575
"AC005329.2"	6.86341171495379	6.61171425994865	6.38117617481694	6.11239729017962	6.33530178111867	6.66137037190803	6.37865760394551	6.02036244125257
"AC005332.6"	5.2569626331327	5.07630652186359	4.98609685532158	5.22767278467307	4.45925966670544	4.84932114885169	4.35537587185035	4.59738677351037
"AC005339.1"	6.24367406428597	6.04879271400721	5.57377978014287	5.53375135480814	5.73652176341002	5.72188429821734	6.03845715555289	5.38776700396031
"AC005343.4"	4.5532018663238	4.89303764825863	5.09557634228427	5.44377092594723	4.64996185119515	4.64889926535762	4.82852286296212	5.7872005693679
"AC005355.2"	1.96945544994955	3.00732288688248	2.19525720155498	2.14977951271533	3.42804995744772	3.35241719243644	2.96189147853393	2.00622330021833
"AC005391.1"	4.44995088032888	4.89345081326305	5.08971228249894	4.94459082183246	5.464689707871	5.21107792102723	5.19206305878959	5.39898377816762
"AC005392.3"	3.54575458218285	3.33413704016875	3.41845549892043	3.96839368745494	3.52338159951603	3.89330617712826	4.47591331141263	3.59170583501012
"AC005394.1"	2.35622313466764	2.80094978197261	2.70971319275697	3.0121816708522	2.92454467729075	2.67932121713378	2.38363210099555	2.66453649341349
"AC005410.2"	5.81705070536966	5.73837092568053	5.4059889856709	5.85268701429604	6.0751353482532	5.97600591210684	5.85555819571393	5.18483034350447
"AC005498.2"	3.77474360553132	3.74414077336471	4.27490798231415	4.22416201313622	4.05384424846358	3.09326391589649	3.38555745862422	3.58790518893324
"AC005498.3"	3.1386981363057	3.37790947968924	4.10052894459866	3.8892129299286	3.9323357261764	3.78718292789697	4.06901015500873	4.23917390713748
"AC005515.1"	3.21312840332021	3.39626903349926	3.28031284784151	3.61243257809956	3.14246286713998	3.39365267298117	3.43049617954735	3.29284039429999
"AC005520.2"	4.7234048188851	3.51949548508279	4.28823450575505	4.70004026238783	3.36923970860618	4.45674539712848	5.53198623202987	4.03340249156544
"AC005520.5"	3.10814592599917	3.2360338795169	2.34422135847798	3.11426850779432	2.37085039145431	2.05652225581841	1.80889560414024	3.20746853449866
"AC005523.1"	4.0657133389652	4.28400869701636	4.70156103280993	4.74568704800414	5.03567867668329	4.98856475626369	4.95717444386376	4.52137116694216
"AC005523.2"	7.2749007353929	6.80510192188569	7.0900322138816	6.65178009401836	7.04132678166324	7.25597136277091	6.93298026060179	7.11628042162764
"AC005537.1"	3.0666413812031	2.7336573577103	3.03210068402944	2.98497700124888	3.26263913377214	2.78520992582235	2.83184381791329	3.02930981544886
"AC005546.1"	7.26451154601611	7.7368584759971	7.15895533639961	7.59128481518893	7.40711200934374	7.62880329678841	7.6118543846108	8.25138168659041
"AC005549.1"	3.30727748950619	2.82500104667673	2.9802738431003	3.21332184181505	3.26263913377214	3.69821290899943	3.51927829061291	3.3042320253273
"AC005562.1"	4.36695864203813	4.40800869343896	4.41366972811942	4.6213138171392	4.60540087189749	4.67284670642249	4.5882016955551	4.39926147627123
"AC005586.1"	3.40949022050574	3.08266992349025	3.52276897115631	3.62088766942461	3.13030479906191	3.37363999929833	4.36097975045462	4.02834066984946
"AC005592.1"	1.48143006863922	1.82877605122721	1.35415838522152	1.37623993284459	2.17926170790985	1.82775418349961	1.45856076898822	1.34099910973165
"AC005606.1"	4.05710443709858	4.55423405725833	4.56116681526346	4.35175862449786	4.89738171619449	4.91458513956223	4.52137116694216	4.72815439410152
"AC005606.2"	5.069228980542	5.53176765977265	4.913908746477	5.04055462927819	5.68526066549319	5.71595240787495	5.71102989275925	5.40867296493287
"AC005632.3"	5.97744379794915	6.17217378876251	6.08905610912355	6.5327890413245	6.22104536282381	6.07722064087726	5.8731619545967	6.91242246314511
"AC005670.3"	6.7492524295145	6.83068121149752	7.48831173155735	7.48859306508603	6.55000253618043	6.89140932619213	6.48693696330015	7.39173408923032
"AC005674.1"	7.43120315045506	7.67705295290882	7.91132572087112	7.7434422004345	8.33339925369617	8.07983701847931	8.21621925241159	8.32488815287607
"AC005696.2"	7.93028460586506	8.43705865218372	7.87419703657783	7.47558742458428	7.7556588570244	7.69310189865086	7.79330653870284	8.37214240171993
"AC005696.4"	4.55138861658024	4.63723650278336	4.74382617354827	4.67921675224888	4.53745426582125	4.55654834900857	4.62712591708965	5.13386931249852
"AC005722.4"	3.91824687597549	4.23710997063832	4.29700720952793	4.28532812931023	4.15337850518297	4.80999982004415	4.16083449292242	4.3576796765102
"AC005725.1"	2.25548646142994	2.39621736717423	2.12116806780441	2.53334021014825	2.41655369428579	2.43892911122505	2.80013678752673	2.41771553317144
"AC005726.3"	5.84479182268036	5.00820411522039	5.0907507404297	5.08096410356269	5.47292088317243	5.16190548724197	4.817802804925	4.6831680550176
"AC005726.4"	5.80298581189498	6.00435700759671	5.94915581998008	6.15666705353408	6.93329171010354	5.98345316621906	5.65103265170253	6.41389422720349
"AC005730.2"	3.77182622711404	3.68786075458679	4.01096354291596	3.79823001183282	3.3215254688801	3.37991267339492	3.5335073718089	3.33453044480282
"AC005759.1"	2.54127584257501	2.63722218698849	3.07571981812238	3.13107843037858	3.26276073375353	2.82758730403372	2.98578920262273	2.96487291325448
"AC005772.1"	2.51232822883242	1.87649877472843	2.14693844226102	2.2606317807094	2.72767921924727	2.16647600708234	2.38363210099555	2.69848722232333
"AC005776.2"	5.78808865805725	6.33448492783635	6.08215069275008	5.94694535176032	6.75733152870922	5.95078246241516	5.85682929417221	6.226070892055
"AC005785.1"	4.24199253325382	4.37298674927392	4.49642651793118	4.452505395199	4.59287385037553	4.70708003647795	3.51943094594156	5.04574110624988
"AC005785.2"	2.64668872651935	2.94397887919274	2.91985031881121	3.39710624747197	3.05000240011807	2.74503465941761	3.2160388146822	3.86368752015459
"AC005786.3"	5.69080047893708	5.39518715707303	5.38770038829314	5.06389218391607	5.03325300026465	5.19090281398135	5.19206305878959	5.38702868839726
"AC005789.1"	3.29238741585166	2.76791952540663	3.29213992947494	3.21860903519171	3.75251832207508	3.49850577315466	3.45406459977626	3.44158973965226
"AC005828.3"	3.18093084567227	2.80679019623011	2.18660471328607	2.33828652140386	2.15030722991593	1.97283458363247	2.268196662972	1.81336784034685
