"ID_REF"	"GSM1431110"	"GSM1431111"	"GSM1431112"	"GSM1431113"	"GSM1431114"	"GSM1431115"
"A1BG-AS1"	4.02993589889837	4.30172301720978	4.18376110735361	4.27989740192782	4.09579376197674	4.04496340430094
"A2M-AS1"	4.39891395849657	3.91345717515746	3.70038872498177	3.96489677224799	4.01434056147433	3.75546752229714
"AA06"	3.98172154775417	4.45165640557201	4.32988525251885	4.20095442376056	4.33528246791687	4.16931014504093
"AATBC"	6.34926049875616	9.14363218355803	6.39494388127439	7.18160245017491	7.34839036071338	6.53282063091979
"ABALON"	5.28577740985217	4.97020182141891	5.18789730830281	5.03839371408096	5.11302659949687	5.24413587152048
"ABCA9-AS1"	2.85027513794877	2.99782532671056	3.05619910023583	2.85833716506855	2.96461376971461	2.98182915903803
"AC000032.1"	6.63542743045962	7.13379144889588	8.26308332968901	6.65877682905389	6.76296076791286	7.66712501436743
"AC000068.2"	9.24838908101683	9.57576313019226	9.32610253246737	9.03374348535852	9.03559816917444	9.26033176959005
"AC000120.1"	6.6560196672895	6.37639994984205	6.73734281872714	7.31535352320939	7.11039277620334	6.84896864252108
"AC000123.2"	3.2018857339364	3.13444367898446	3.6080967996392	3.43613146353393	3.27333056517824	3.59791007427229
"AC000123.3"	3.22293000586706	3.3254372129719	3.52487194664344	3.34550890499586	3.33385583328582	3.18572855008119
"AC002044.1"	11.4151391760265	11.6440070736634	11.7005111432942	12.0905168235035	11.8719266632392	11.4045262835707
"AC002059.1"	4.8483598133744	4.54287251169436	4.99873264035456	4.80797407605174	5.23463011568246	5.26035745705013
"AC002064.1"	3.28215298373851	3.23453001671704	3.23431778009598	3.1964683068128	3.20094706478806	3.29003500366584
"AC002070.1"	4.10089849127666	4.1910124844687	4.2926307244069	4.03440053653356	3.9109493970516	4.18809409646643
"AC002094.1"	7.1250951523649	7.41485850582896	5.58561828507969	7.11084688246201	7.05852806015172	6.91176005449812
"AC002094.2"	6.85722380998919	6.64587476751393	6.40610899662563	6.3217451180877	6.39643174201053	6.30317581732524
"AC002116.1"	7.21040434113758	7.62778118075955	6.87456518838123	7.13033354478967	7.26504387774358	7.0383810476293
