"ID_REF"	"GSM198942"
"A1BG-AS1"	3.22631572512441
"A2M-AS1"	3.95048932706483
"AA06"	3.91961971487711
"AATBC"	2.59813828325886
"ABALON"	4.45298918848527
"ABCA9-AS1"	2.20759716837794
"AC000032.1"	6.88919688264475
"AC000068.2"	8.45249902071926
"AC000120.1"	6.11711203690305
"AC000123.2"	3.07357529218011
"AC000123.3"	3.30209627841576
"AC002044.1"	9.52663705171462
"AC002059.1"	3.29117218377652
"AC002064.1"	2.57748351262743
"AC002070.1"	3.09493182651924
"AC002094.1"	6.20297483915852
"AC002094.2"	6.95038273325126
"AC002116.1"	6.54577546520314
"AC002310.1"	3.56446915037826
"AC002310.2"	2.8020603326487
"AC002347.2"	6.29241894432319
"AC002398.1"	4.09988296167069
"AC002398.2"	3.17991296202452
"AC002463.1"	2.05264065685991
"AC002464.1"	2.63677230444576
"AC002467.1"	4.37227928998591
"AC002470.2"	3.60863068016349
"AC002480.1"	2.67236441016589
"AC002525.1"	3.35221682079468
"AC002550.1"	3.60595327734076
"AC002553.1"	5.15503398475535
"AC003102.1"	5.48037055795468
"AC003681.1"	5.14236921058601
"AC003682.1"	2.18946889763424
"AC003958.2"	2.33616687713676
"AC003973.1"	2.26228443346004
"AC003986.1"	3.36054266553049
"AC003991.1"	2.64558813487637
"AC004009.2"	2.28183948931249
"AC004009.3"	2.3454378297978
"AC004023.1"	2.95786581788163
"AC004039.1"	2.59829608006146
"AC004069.1"	10.8148974410898
"AC004076.2"	2.81901798069318
"AC004080.1"	2.90940292334199
"AC004080.2"	3.44209970775216
"AC004080.6"	4.32674348807262
"AC004130.2"	4.24631721340987
"AC004148.1"	6.6322326001449
"AC004156.1"	4.04539524842908
"AC004158.1"	2.51755346792954
"AC004160.1"	2.6549890872097
"AC004221.1"	7.67188051609338
"AC004231.3"	2.29504618905598
"AC004232.2"	4.29882751464411
"AC004233.2"	3.72054145154923
"AC004241.1"	3.6206384373116
"AC004241.4"	2.9853165837783
"AC004241.5"	2.69653433517994
"AC004264.1"	3.8071812491888
"AC004408.1"	3.39189568339878
"AC004408.2"	3.51848949780739
"AC004461.2"	3.10450344113683
"AC004477.1"	7.61421409593609
"AC004490.1"	2.99560346288209
"AC004510.2"	3.84101907029236
"AC004522.3"	3.38961733468131
"AC004528.1"	2.37111058200456
"AC004540.1"	2.6550977336976
"AC004542.1"	7.77706455730326
"AC004543.1"	8.48550165248572
"AC004590.1"	2.57370926598057
"AC004593.1"	2.74795266760811
"AC004623.1"	2.07725845565672
"AC004687.1"	5.19281791449714
"AC004690.2"	2.48259848706783
"AC004707.1"	2.74166306371526
"AC004771.3"	4.49660607560862
"AC004784.1"	2.91410563562572
"AC004801.3"	2.40500872033788
"AC004803.1"	3.22241596467114
"AC004812.2"	3.66243862283001
"AC004816.1"	2.76331638329437
"AC004817.1"	2.44507449838766
"AC004817.2"	3.15384546595771
"AC004825.2"	3.52543448696719
"AC004830.2"	2.50860239671898
"AC004832.1"	2.98493816642722
"AC004835.1"	5.02349300982943
"AC004836.1"	3.04222379320869
"AC004839.2"	3.5475739901223
"AC004846.1"	2.89523747028652
"AC004846.2"	3.02342790375696
"AC004847.1"	6.32841558919564
"AC004852.2"	2.44098437643869
"AC004882.3"	9.09265882301945
"AC004900.1"	6.22086151812087
"AC004908.1"	3.10078235140417
"AC004917.1"	3.05808034358158
"AC004918.1"	6.11341322442916
"AC004918.3"	5.68040974163829
"AC004938.2"	3.13298634119611
"AC004943.2"	3.17403233631158
"AC004944.1"	3.14997672409695
"AC004947.1"	2.76701506895518
"AC004948.1"	1.96073573840901
"AC004951.1"	6.83079541349727
"AC004967.2"	5.20932435793199
"AC004972.1"	2.11513226184255
"AC004982.1"	2.77880356018728
"AC005005.3"	3.66923689716228
"AC005009.1"	2.2490085212803
"AC005014.2"	2.99403820699991
"AC005034.5"	5.37951942670538
"AC005037.1"	6.51221197286041
"AC005041.4"	2.82455460795791
"AC005041.5"	7.59428946255672
"AC005062.1"	6.10572580004257
"AC005064.1"	2.41480692052267
"AC005072.1"	3.17516895280203
"AC005076.1"	4.24206863432869
"AC005082.2"	4.70819443489387
"AC005083.1"	2.92940151947662
"AC005162.2"	2.63381710394362
"AC005165.1"	3.53429917275628
"AC005180.2"	2.45214328149605
"AC005197.1"	3.8756062859656
"AC005224.3"	4.99890750703066
"AC005225.2"	2.74311935009273
"AC005229.3"	3.95867739241522
"AC005252.3"	2.38464559448982
"AC005253.2"	7.04914414198707
"AC005256.1"	4.19726620996521
"AC005261.1"	6.06950172542574
"AC005261.3"	6.01929269229407
"AC005261.5"	2.89882981117046
"AC005288.1"	8.04608347383307
"AC005306.1"	4.66268954087478
"AC005329.1"	5.18314490525585
"AC005329.2"	4.85293633316386
"AC005332.6"	4.82997893526279
"AC005339.1"	6.4078219418703
"AC005343.4"	3.3098415683174
"AC005355.2"	3.12259134538918
"AC005391.1"	4.12056830234777
"AC005392.3"	3.81920235817756
"AC005394.1"	3.14547085465855
"AC005410.2"	6.94374234236499
"AC005498.2"	2.79183189740204
"AC005498.3"	3.98166782222632
"AC005515.1"	3.3319287112074
"AC005520.2"	2.98672484068281
"AC005520.5"	2.31383968702751
"AC005523.1"	3.72037483540935
"AC005523.2"	6.51954487625473
"AC005537.1"	2.60399380568481
"AC005546.1"	6.92959460853516
"AC005549.1"	3.03196402574786
"AC005562.1"	4.81280468551274
"AC005586.1"	3.51883735532548
"AC005592.1"	2.44013632642257
"AC005606.1"	5.93235559227216
"AC005606.2"	4.04023091961569
