"ID_REF"	"GSM687236"	"GSM687237"	"GSM687238"	"GSM687239"	"GSM687240"	"GSM687241"	"GSM687242"	"GSM687243"	"GSM198943"	"GSM198944"	"GSM198945"
"AL158837.1"	"3.78228392271232"	"3.83237206766392"	"3.9826181394424"	"3.7511762574805"	"3.95761840541501"	"3.88933989635105"	"3.69624770882593"	"3.8343818924946"	"3.74263502460252"	"4.00836054828534"	"3.75430089666546"
"AL158847.1"	"5.15351439035037"	"5.31533645724565"	"5.13602951027243"	"4.63982109121354"	"5.72410175533104"	"5.22208439351547"	"4.73206613986166"	"5.86733446506757"	"5.79195803941435"	"5.31571118682287"	"4.91679985698284"
"AL159152.1"	"3.53056126822403"	"3.41848859343384"	"3.46249844340579"	"3.46356408579936"	"3.29007906457828"	"3.34025901139661"	"3.52139585416326"	"3.44527002388126"	"3.34145368563126"	"3.38104947077942"	"3.52385300277372"
"AL159169.2"	"5.86543399855917"	"5.48509927857712"	"5.74042512318524"	"5.97822277792589"	"5.43708317801494"	"5.47638491575854"	"5.77492506788866"	"5.42592431562415"	"5.53645447331613"	"5.57249396909311"	"5.84828643546312"
"AL160004.1"	"4.85857902435213"	"5.08852662531767"	"5.19690256372564"	"4.86607861405923"	"5.16613554005844"	"5.10552815082492"	"5.27236719633926"	"4.97629670655258"	"5.13832692088434"	"5.23342515380782"	"4.91617465187291"
"AL160006.1"	"5.46175780806507"	"5.70287340079153"	"5.58174461751615"	"5.54704028002088"	"5.6910807459369"	"5.60595311042889"	"5.68453605528728"	"5.48861678571252"	"5.54431081421854"	"5.59358219836303"	"5.48946490858639"
"AL160153.1"	"3.70323745724396"	"4.04555865356234"	"3.95304955748548"	"3.84352863540013"	"4.06604123940356"	"3.86812522528225"	"4.0219468616039"	"3.89249082233958"	"3.85762830950844"	"4.03080414413449"	"3.83727981505284"
"AL160236.2"	"7.7449379370261"	"7.9511167865788"	"7.58573701249341"	"7.05706437205625"	"7.52192774846211"	"7.20517808389635"	"6.7400528441064"	"7.08667724883722"	"7.08901966058022"	"7.70254064491167"	"7.57256264999882"
"AL160274.1"	"4.33160095565425"	"4.24981175386069"	"4.13589352970694"	"4.13522224758101"	"4.36927699873743"	"3.920707531466"	"4.34175464332927"	"4.13120323096996"	"4.26473578871305"	"4.24025243580156"	"4.10738619488613"
"AL160286.2"	"5.42936517097571"	"5.41992793773818"	"5.38560983936071"	"5.46638791850832"	"4.99551065807649"	"5.03896985974954"	"5.02028291685001"	"5.32197285268963"	"5.06858231990706"	"5.35157544972151"	"5.32915985002238"
"AL160313.1"	"5.51331947882035"	"5.83832619827981"	"5.70107115194356"	"5.53286497661921"	"4.74446390085979"	"5.16158251970775"	"5.52065075623567"	"5.19509890779991"	"5.56064814746179"	"5.28519340256295"	"5.44946385302236"
"AL160314.2"	"6.05327467168802"	"6.30932038656507"	"6.22744110054603"	"5.81901411653347"	"5.70748606468043"	"5.7227092917433"	"6.26989251456672"	"5.8857014313864"	"5.98573456432784"	"6.16042616117984"	"5.97133125529754"
"AL160408.1"	"4.9844741259119"	"5.03266094686819"	"5.21658076029395"	"5.00735614251191"	"5.54889171420724"	"5.31934650573072"	"5.32777298846446"	"5.25625822476512"	"5.13350528498484"	"5.15024852126313"	"5.29649185018733"
"AL160408.2"	"11.087468862446"	"10.8307346326303"	"10.7859026964119"	"10.9792413491572"	"10.7024589779931"	"10.8485266293187"	"10.4839968119112"	"10.973374464304"	"11.2411822678933"	"10.7766989892241"	"10.5381269593663"
"AL161421.1"	"4.23125437711664"	"4.13990180827529"	"4.60045981127014"	"4.08806212728686"	"4.4003250515884"	"4.46236738721211"	"4.22010218613468"	"4.27031303803968"	"4.31721444123823"	"4.24471665172177"	"4.31511873560229"
"AL161452.1"	"6.36986289629836"	"6.32398099550021"	"6.31223004969254"	"6.27322322637294"	"6.37242588255585"	"6.56273327138314"	"6.78140737219168"	"6.58089213336478"	"6.53615021690472"	"6.39648300088798"	"6.38179255820328"
"AL161457.2"	"6.899089430923"	"6.68531189244025"	"6.75551307029114"	"6.65965731739622"	"6.65822051645578"	"6.29798731889205"	"6.48581396555535"	"6.36484360242806"	"6.64924293225638"	"6.96445259349791"	"6.41341290704319"
"AL161630.1"	"3.67784666195716"	"3.92288061693522"	"3.61112731673687"	"3.58168182960857"	"3.90541982762441"	"3.74927744561594"	"3.9838748292853"	"3.59456430257094"	"3.88993378446691"	"3.82119809411378"	"3.56639308923345"
"AL161636.1"	"4.00883978685069"	"4.32707100514066"	"4.01133779426379"	"4.34195975850584"	"3.99365690432824"	"3.79135649673543"	"4.31969191060795"	"3.87385008970884"	"3.97642211984331"	"4.35872967162058"	"3.96628288409786"
"AL161645.1"	"3.73205247062944"	"4.14993765483523"	"4.18538068667339"	"3.60628007630528"	"3.70887850253415"	"3.69495454304071"	"3.88231900486225"	"3.81020893604439"	"3.93695096021997"	"3.8705918471244"	"3.78486502852946"
"AL161663.2"	"4.40055024571742"	"4.52590310359467"	"4.71803017894701"	"4.49282478240308"	"4.12533708289348"	"4.45380431146222"	"4.33192976436991"	"4.31420177040783"	"4.25644345596217"	"4.48460048774754"	"4.50183851970419"
"AL161665.1"	"6.43290532784114"	"5.7187150311682"	"5.84489011000402"	"5.73440750694187"	"5.51669574542481"	"5.53309345654209"	"5.65210735185785"	"5.77387889771986"	"5.93710296449339"	"5.69314206496038"	"5.77882840549248"
"AL161668.1"	"3.5979807357892"	"3.52135156502541"	"3.40912688004266"	"3.51569837088644"	"3.27368043547166"	"3.34306247964494"	"3.49121188914816"	"3.31365041952388"	"3.43472938688284"	"3.28411683555517"	"3.55688286268333"
"AL161668.3"	"7.1900938907964"	"7.6518543572741"	"7.46699364982329"	"7.37122308578062"	"7.43508940673718"	"7.31782296029751"	"7.35626066147137"	"7.4769195907464"	"7.31522403457579"	"7.35509479341003"	"7.55437698725276"
"AL161725.1"	"6.04706778755301"	"5.60574447451266"	"5.932475719247"	"5.63239321175037"	"5.97713919869082"	"5.99038148026054"	"6.15824396379382"	"5.99648300106441"	"5.51819671622044"	"6.44272988781768"	"5.8676800956117"
"AL161729.1"	"4.82665574712948"	"5.15598191435974"	"4.76325644042923"	"4.60293623067632"	"5.11991809509884"	"5.03963649496512"	"5.53664546768227"	"5.24654940312739"	"5.21996752032179"	"5.17208325587938"	"4.86518839237228"
