"ID_REF"	"GSM1209581"	"GSM1209582"	"GSM1209583"	"GSM1209584"
"A1BG-AS1"	5.76800517908728	5.92309479666444	5.80616155505989	5.73889963491203
"A2M-AS1"	5.43946810871907	5.555342396133	4.88828826081353	5.16579504340126
"AA06"	6.47075638832682	5.94273138105553	6.39993524378861	6.29621362934827
"AATBC"	4.8596627716388	4.89643803389718	5.0234312772446	4.82994819030096
"ABALON"	6.50582368660914	6.8004919048094	6.57470249809973	6.54252442359338
"ABCA9-AS1"	3.82838516290354	3.6513018516357	3.87861585629189	3.64193951754559
"AC000032.1"	7.59201828150347	8.11910647900141	8.25944153642498	7.46370215407911
"AC000068.2"	10.1764360234535	10.2714777460078	10.1308480104952	10.1110908006475
"AC000120.1"	5.07650315131642	4.47222831492108	4.80495157431193	4.73350706993984
"AC000123.2"	4.01529243861469	3.95564538840688	3.89826325542081	3.89384030113033
"AC000123.3"	4.84069840417562	4.90965563429626	5.01647082299387	5.00998727110314
"AC002044.1"	9.39123182896295	9.52097242173663	9.41557356119482	9.55348748101663
"AC002059.1"	7.23717085391634	7.34064936195992	7.23061510405937	7.407753846001
"AC002064.1"	4.83986734910668	4.65994331329554	4.81471420133823	5.02278286275113
"AC002070.1"	5.45982651282841	5.51607929184515	5.44366685977453	5.16560954504736
"AC002094.1"	7.77312896621258	7.73456472316674	7.74838315935777	7.52584586500686
"AC002094.2"	9.29653933681641	9.2423170247348	9.13454122749024	8.87170579302884
"AC002116.1"	5.42784442538594	5.48255168680424	5.7518722241288	5.51134130627343
"AC002310.1"	5.13256886620727	5.33977685497669	5.05524221576456	4.78780001704475
"AC002310.2"	5.11266512284766	5.09946647680217	5.22479937443229	5.09497622301084
"AC002347.2"	6.20422424657492	6.26921946450987	6.03687761241965	6.17583160477658
"AC002398.1"	6.26200910360123	6.22222079593117	6.3271024673909	6.18448509103477
"AC002398.2"	6.69211149643261	6.47603605279274	6.69515507802488	6.80604494595856
"AC002463.1"	3.7730016188231	3.66540186940742	3.81694808059182	3.73442368366609
"AC002464.1"	4.2642882555283	4.23111233050167	4.3457229070853	4.50893214644132
"AC002467.1"	5.92598839861466	5.92222389019387	5.82981569492768	5.97810390402577
"AC002470.2"	6.05909074842265	6.01371779591884	5.92132499687984	5.79727133359373
"AC002480.1"	4.77348588781305	4.74012162109668	4.70508487386134	4.75773302949978
"AC002525.1"	4.88593305562904	5.05269100455706	4.97348043616952	5.08971712487206
"AC002550.1"	5.67912788104795	5.25106847845239	5.3218039010605	5.46465096692954
"AC002553.1"	6.61125638579711	6.52342531551376	6.61156044262155	6.50101396315713
"AC003102.1"	6.31241656286639	6.36710584700129	6.48004145328571	6.72934591938628
"AC003681.1"	7.021199139415	6.90877425275519	7.08206092626918	6.98722325737101
"AC003682.1"	3.62617399688998	3.63786070419211	3.66277086117475	3.78220014904076
"AC003958.2"	3.98127583486722	4.10517499074019	4.11447519564316	4.04393380942433
"AC003973.1"	4.55582208765347	4.57692679659434	4.60011722858614	4.48356443572938
"AC003986.1"	6.38769745519831	6.68467541157735	6.56372908822229	6.16014936518401
"AC003991.1"	5.62711057852212	5.20014147101038	5.42089181545065	5.64316197027837
"AC004009.2"	4.36558153505743	4.35697344066519	4.43574381670368	4.61256945839966
"AC004009.3"	3.90054839122683	3.76567012208227	4.02895282327951	4.09357574530516
"AC004023.1"	4.21617547712617	4.11667356352236	4.15348099119459	4.31361662251294
"AC004039.1"	4.27509837651265	4.07989931831008	4.28621488854035	4.29173334272917
"AC004069.1"	11.9262047235691	11.6584573226709	11.721407415987	11.6670525644053
"AC004076.2"	5.2227453471967	5.39098260521731	5.25142582948038	5.16272229125591
"AC004080.1"	5.98545192013753	6.14108665121987	6.11409197347019	6.11409197347019
"AC004080.2"	6.67280473928103	6.65826536323543	6.49670075971354	6.67907841052115
"AC004080.6"	6.49458380171546	6.45260597229568	6.3744831768834	6.68552125734405
"AC004130.2"	5.93702187756663	6.34739094984837	6.1368953486886	6.2713811430964
"AC004148.1"	8.81069196035475	8.40771903089444	8.63059276587475	8.51389818831523
"AC004156.1"	6.18424338535494	5.82447941806176	6.22006576067495	5.82846939797178
"AC004158.1"	3.73712796325199	3.58312354327864	3.80628631278698	3.79784346649109
"AC004160.1"	5.06425870207082	5.018678530772	4.90710291889347	4.8812069099069
"AC004221.1"	7.88499050981887	7.65956579664343	7.78409317054509	7.83617009885177
"AC004231.3"	5.06333234690379	5.02955104956209	5.14627616790194	5.24814853473762
"AC004232.2"	6.16183940106325	6.00891035999337	6.01927932909894	5.95334658986426
"AC004233.2"	7.67109012013747	7.5453136178817	7.54852896979804	7.74078644860717
"AC004241.1"	6.87967321556838	6.66168451283359	6.91092726012882	6.58318118361143
"AC004241.4"	4.80826948362351	4.67543317266706	4.88137438970399	4.91669872980386
"AC004241.5"	4.89607647391587	4.81710071281356	4.89956051858049	5.04353745945093
"AC004264.1"	6.39491046568246	6.36661731899521	6.22080182934365	6.0208887284884
"AC004408.1"	5.63078146783949	5.92545788554762	5.45719015570447	5.77379159477543
"AC004408.2"	6.2967526803786	6.32280780139175	6.46365154785983	6.76721084385011
"AC004461.2"	6.24373909206463	6.10783486909011	6.27630401399026	6.24531367357889
"AC004477.1"	8.42973132839555	8.68646260212351	8.18627597468862	8.56374874732622
"AC004490.1"	4.45944559453833	4.56331178444467	4.67239075335937	4.41853950554499
"AC004510.2"	6.42516858779144	6.83026414827026	6.48546840255439	6.6413899401922
"AC004522.3"	6.48101476477499	6.74402213540525	6.96778083141457	6.93874211986998
"AC004528.1"	4.29579019252209	4.21847210929351	4.238079122823	4.21986529514717
"AC004540.1"	4.93968249383114	4.9179203328761	4.97744096627348	4.90966334587103
"AC004542.1"	9.09694812732186	8.77328729672812	8.92470313000584	8.90763469655682
"AC004543.1"	7.95619383606361	7.90506413458803	7.98665847580273	7.83796534417538
"AC004590.1"	4.25399541619874	4.5273430253556	4.49153757117768	4.4258541643534
"AC004593.1"	4.82566351057513	4.96809614256878	4.76202057342705	5.05515657293846
"AC004623.1"	3.57936662398164	3.43913917250866	3.54186715539012	3.53639065150202
"AC004687.1"	6.13164559462969	6.21050541450255	6.14605091581236	6.32026265373294
"AC004690.2"	4.59255327104268	4.4663114023827	4.54228415120075	4.44527416497906
"AC004707.1"	4.93102167565248	4.94106424553635	4.88573998494196	4.70363595139703
"AC004771.3"	7.12698150770295	7.26589486460868	7.18400251098577	7.13491456121475
"AC004784.1"	5.77930108922091	5.68693858745259	6.0542714832679	6.18246994333484
"AC004801.3"	4.39112927376333	4.54704962564888	4.3079103987104	4.57138142465287
"AC004803.1"	4.75366857827953	4.75011236610415	4.90475870008373	4.89070926867597
"AC004812.2"	6.24734393915523	6.16067541926236	6.32781472878751	6.27142648346357
"AC004816.1"	6.10454790299191	6.15336976586551	6.10024899528589	6.1858005959517
"AC004817.1"	4.39305871995449	4.59363072046427	4.53094483312086	4.58927951224283
"AC004817.2"	6.4689889898368	6.32078616578749	6.50232860798428	6.70434124212182
"AC004825.2"	5.80866902459699	6.01324533988359	5.92959159974921	6.01088655727933
"AC004830.2"	4.44126764052827	4.33492715328902	4.36732560213974	4.67234771984849
"AC004832.1"	5.18789822127089	5.18976008377816	5.31611465811754	5.2528625563307
"AC004835.1"	6.48457720249599	6.40507073560637	6.41843082107796	6.33899514371512
"AC004836.1"	4.31790326416218	4.40498039131245	4.46238634706901	4.30521809024582
"AC004839.2"	6.46366571684293	6.44077253382185	6.56482994220348	6.39827795881452
"AC004846.1"	5.6596058792737	5.42339092175876	5.48909399050418	5.45190291176169
"AC004846.2"	6.67793187228987	6.4576893718253	6.49748299966361	6.39557448941321
"AC004847.1"	5.99212017434354	5.95959765685438	5.55850148780895	6.20452964288162
"AC004852.2"	4.59317976493412	4.49487655978095	4.74772907765075	4.58719399577323
"AC004882.3"	13.0297745371277	13.0057717638011	12.9559752211647	13.0689093254653
"AC004900.1"	8.3428526732256	8.40068807001409	8.28486564842873	8.32295288434332
"AC004908.1"	5.76227536369606	6.02584925979342	5.85935475666426	5.89332559555817
"AC004917.1"	4.82815912655143	4.92747540472268	4.86508780984242	4.66076699826452
"AC004918.1"	6.45261353223548	6.04378646165102	6.35209389880265	6.4471656491182
"AC004918.3"	6.41643067975884	6.41116125873795	6.40466971630968	6.54282211601296
"AC004938.2"	5.97099823307756	6.06144963358819	5.90082657795313	6.09044808089918
"AC004943.2"	5.26440302952776	5.33310634073692	5.3084621182014	5.38713942406869
"AC004944.1"	4.67008204245004	4.7033842863652	4.5540196676318	4.83866258435862
"AC004947.1"	4.813502204479	4.71284220160646	4.88370692071146	4.94327990265329
"AC004948.1"	3.85151711665466	3.631956538104	3.83616066907015	3.64987558163639
"AC004951.1"	6.9125134515336	7.39354998880068	7.72814318860809	7.85378956153542
"AC004967.2"	7.61657737073343	7.47142511688429	7.48857342405442	7.67829668267417
"AC004972.1"	3.7249582970431	3.48323229992344	3.58293788472447	3.60438505373871
"AC004982.1"	4.01756823766763	4.04398332397662	4.01976660461315	3.97753617244026
"AC005005.3"	5.73492357903412	5.61207714811044	5.77808048566821	5.7089423995053
"AC005009.1"	3.58717390765861	3.58958644989458	3.58083624510923	3.66729320885369
"AC005014.2"	4.54819731964667	5.10720605894263	4.74215495664033	4.8122494261268
"AC005034.5"	6.07639899279603	6.20378572638674	5.99049216876239	6.177117889228
"AC005037.1"	6.40581924066818	7.31441751328541	7.14907487085832	7.40402154053665
"AC005041.4"	4.91639917356664	4.86743034124442	5.12280771880683	4.83757598651538
"AC005041.5"	10.9818185060041	11.1030610251505	10.6629669157996	11.1535539585794
"AC005062.1"	7.71744056728465	7.78341632432632	7.64235460737937	7.59728458751481
