"Sample","MHC","CYT"
"TCGA-OR-A5JP-01A",4.32060706165284,0.382494998890446
"TCGA-OR-A5JG-01A",4.1227744236794,0.440504870094992
"TCGA-OR-A5LG-01A",5.00097550421417,1.31056717321433
"TCGA-OR-A5JR-01A",5.61230910151404,1.77383135234908
"TCGA-OR-A5KU-01A",5.00060321744924,0.383695828334028
"TCGA-OR-A5LS-01A",4.57864781586324,0.315095258722712
"TCGA-OR-A5L9-01A",4.64220274820065,1.40506082628264
"TCGA-OR-A5JQ-01A",5.09592732063416,2.59204053691553
"TCGA-OR-A5K4-01A",5.5822914422277,0.648141021904975
"TCGA-OR-A5JL-01A",6.90417102921258,0.917369013514256
"TCGA-OR-A5LC-01A",5.26795370264071,0.471088727649857
"TCGA-OR-A5K2-01A",4.88764663841902,0.344152234751202
"TCGA-P6-A5OG-01A",6.74428595665453,3.95000518380487
"TCGA-OR-A5JW-01A",5.01469566597879,0.23731708584746
"TCGA-OR-A5KO-01A",5.29610107128407,0.190596529635602
"TCGA-OR-A5J8-01A",6.22941377381733,3.24624620909688
"TCGA-PA-A5YG-01A",5.25491057143635,2.54712969569443
"TCGA-OR-A5KV-01A",4.16507444950194,0.248369008017244
"TCGA-OR-A5L4-01A",5.19492532504168,0.755653467800563
"TCGA-OR-A5KX-01A",5.6131997461444,0.659155779512816
"TCGA-OR-A5L8-01A",3.16059737377846,0.400352073412284
"TCGA-OR-A5JO-01A",6.64375302276156,4.27957560864222
"TCGA-OR-A5JA-01A",6.36841755359765,0.255035928398146
"TCGA-OR-A5LO-01A",4.75962779400545,0.278586172943527
"TCGA-OR-A5JM-01A",4.36506528192954,0.0907406781167111
"TCGA-OR-A5JV-01A",6.1126919622347,1.35271760253941
"TCGA-OR-A5JB-01A",7.1338212141735,4.48890311010073
"TCGA-OR-A5LA-01A",5.65373014852149,2.16502316506009
"TCGA-OR-A5JE-01A",5.70152430094164,0.37156386645695
"TCGA-OR-A5JZ-01A",6.34273331882257,1.28142518562625
"TCGA-OR-A5KT-01A",5.84488935535994,1.95538608262172
"TCGA-OR-A5KZ-01A",5.74705810522992,0.908256438881523
"TCGA-OR-A5LJ-01A",4.78154640326991,1.48595062124882
"TCGA-OR-A5LB-01A",4.79940394120973,0.301188929758023
"TCGA-OR-A5LT-01A",5.0138987354471,0.400242171836392
"TCGA-OR-A5LD-01A",2.90056948405763,0.277396674643495
"TCGA-OR-A5J2-01A",4.19643385821664,0.853758477671992
"TCGA-PK-A5HB-01A",4.55897666841079,0.35426988658579
"TCGA-OR-A5JS-01A",5.10880119263321,0.60703889974089
"TCGA-OR-A5K6-01A",5.34279248548326,0.37463074744499
"TCGA-OR-A5JY-01A",5.96733625741042,0.372282950647571
"TCGA-OR-A5JT-01A",6.02352579496658,0.735736997090521
"TCGA-PK-A5H8-01A",5.00648714759623,0.294904892063762
"TCGA-OR-A5JX-01A",4.7882946202037,1.01610200476551
"TCGA-OR-A5LK-01A",4.87897238095428,2.45212022969989
"TCGA-P6-A5OF-01A",4.61506910452989,0.415198920294657
"TCGA-OR-A5JI-01A",4.76889059896489,1.77412944792766
"TCGA-OR-A5K5-01A",5.01037134321623,0.408625422365097
"TCGA-OR-A5JC-01A",5.68952990231899,0.950174507129313
"TCGA-OR-A5KW-01A",4.73537748483554,0.419680289750957
"TCGA-OR-A5JJ-01A",5.44736094484843,1.33478785269026
"TCGA-OR-A5JD-01A",4.53426835929633,1.98874955448406
"TCGA-OR-A5LM-01A",6.87961091526161,0.34962869981163
"TCGA-PK-A5HA-01A",5.94313629876363,2.14810617297338
"TCGA-OR-A5JF-01A",4.75727928931326,0.316321095270022
"TCGA-OR-A5LH-01A",6.57949409265917,1.4436321650698
"TCGA-OR-A5K1-01A",6.11037276149596,1.65498753734692
"TCGA-OR-A5LN-01A",5.20994020739028,2.24621275204298
"TCGA-OR-A5LE-01A",4.90061850699512,0.0894634706237639
"TCGA-OR-A5L3-01A",4.123628394667,0.249928733005054
"TCGA-OU-A5PI-01A",4.78059719485741,0.7059893788513
"TCGA-OR-A5K8-01A",4.75794038686478,1.01030398111768
"TCGA-OR-A5K0-01A",5.71362875760111,0.410016008814744
"TCGA-OR-A5KY-01A",3.52368213345349,0.427863974119262
"TCGA-OR-A5J9-01A",4.14620192876428,0.793415226953185
"TCGA-OR-A5J1-01A",4.39369533079858,1.07099563629433
"TCGA-OR-A5J5-01A",4.25444812080376,0.494760888927382
"TCGA-OR-A5L6-01A",5.63631881747031,1.37566183567574
"TCGA-OR-A5LP-01A",5.26177719301245,1.64652326565067
"TCGA-OR-A5K9-01A",4.70062596644822,0.0527423072827856
"TCGA-OR-A5J7-01A",5.20400754908544,0.170854310204063
"TCGA-PK-A5H9-01A",6.85336078991551,1.57629409430829
"TCGA-OR-A5LR-01A",5.87448218928927,1.0885764633998
"TCGA-OR-A5JK-01A",6.69451807454244,3.09583464543438
"TCGA-OR-A5J6-01A",5.65368024200101,1.32187960003018
"TCGA-OR-A5LL-01A",5.41485013735319,0.320131696253961
"TCGA-OR-A5K3-01A",5.20475245079731,0.429993812997341
"TCGA-OR-A5J3-01A",5.17142421921835,0.53343299247171
"TCGA-OR-A5L5-01A",6.00395068878177,2.23198238260154
"TCGA-FD-A3SS-01A",5.08038484302346,0.354711767679891
"TCGA-FD-A43S-01A",6.50694050941232,3.9124073433111
"TCGA-UY-A78K-01A",6.71890911553179,3.93133881808656
"TCGA-DK-A2HX-01A",5.12532092925188,1.05014070657467
"TCGA-DK-A1A3-01A",5.2561163266335,1.87586516818692
