symbol,PVal,HR,BB3,BB4,P_adj
B4GALT1,0.0388712643535474,1.25583620209481,1.01171243533648,1.55886644406755,0.159840486388859
CCR7,0.00299317468478263,2.0156603917698,1.26887951247055,3.20194847108769,0.0654790668951439
CD27,0.0390155136459256,1.58451223582571,1.02347651922289,2.45308903362797,0.159840486388859
CD40,0.0033487278458276,1.55367624989739,1.15749270166382,2.08546445781074,0.0675326782241899
CTSW,0.027586109751334,1.52628295104489,1.04777443450613,2.22332170926496,0.130048803113432
EOGT,0.0490574369253628,1.59197520350746,1.00192217878944,2.52952285340641,0.178078496039067
FGF7,0.0344247509025684,1.82070428150784,1.04492062855141,3.17245539050805,0.152392494849175
GPR68,0.0130027686324568,1.77507774193085,1.12863046597369,2.79179154284125,0.0960501898553641
IL31RA,0.00168602304886312,4.18523781364717,1.71285771281028,10.2263109339324,0.0590934313852263
IL9R,0.0200830912151306,61.4867653342307,1.90858805975904,1980.84772244885,0.107208266339594
IRX5,0.0126972677697608,1.48158745281013,1.08757172258781,2.01835091399885,0.0960230875088158
LDAF1,0.0243338371064109,1.44459274331517,1.0488279520767,1.98969544042646,0.124411026332777
LGALS8,0.00235917233365853,2.14040800397244,1.31061822440169,3.49556136041119,0.0590934313852263
MME,0.00136745637759253,1.46663654061244,1.16010541874442,1.85416144731715,0.0590934313852263
PTPN1,0.0407421025516239,1.63928638766517,1.02103585176002,2.63189569313568,0.162968032782655
RAI14,0.0305368412462534,1.38206790543743,1.03084769072676,1.85295239289283,0.140314852815063
STPG1,0.0199906603209287,1.50541895460816,1.06657425831373,2.12482741940214,0.107208266339594
THEM5,0.0444739197367562,1.39190431293969,1.00820030326195,1.92163958899023,0.166433328499407
TRIP4,0.0160381266425889,1.66667390580656,1.09971807083162,2.52592185394925,0.105851635841087
TVP23B,0.0372080337714657,1.80447894552765,1.03561122491926,3.14417629560401,0.158900191282848
TXK,0.00889999377816013,9.9040359271709,1.77701687848445,55.1992098861488,0.0828384036274904
TYMP,0.0222991112012518,1.2625019844078,1.03373428610316,1.5418964835172,0.115636819515063
