symbol,PVal,HR,BB3,BB4,P_adj
ADAM10,0.044557578130231,0.835257689660259,0.700715728831966,0.995632578848382,0.132067055899514
AHNAK,1.15616229797767e-06,1.44078943244449,1.24359475476559,1.66925293041703,0.000103814749312231
ALPK1,3.27937067748748e-05,0.482564773168679,0.342151364274316,0.680601583446088,0.00071927530192892
ANTKMT,0.00266765502299196,0.688965469386213,0.54027729801081,0.878573687538259,0.0258134853695398
APOBEC3G,6.88650703620894e-06,0.727899323299851,0.633809819847461,0.835956478219125,0.000283207601864092
B4GALT1,0.0232109749625425,0.807604959653554,0.671538198490405,0.971241505432155,0.0885200475827629
BAG3,0.0212911022440215,1.24046997240783,1.03260044525196,1.49018505610851,0.0884301639361061
CDC42EP3,0.0455324206610091,1.18534154582635,1.00338458893704,1.40029515676582,0.133568198024624
CLEC12A,0.00144124857577673,0.72083859111493,0.58937261176342,0.881629488831986,0.0152958316590498
CLEC12B,0.00613689656047924,0.208612080091909,0.0680016278642391,0.639969973177052,0.0465370412169906
ELK4,0.0353574355549248,0.727972916373919,0.541607278693299,0.978466478981804,0.116372216918439
FAM111A,0.000223594080648796,0.643681974444205,0.509409118172585,0.813347208449492,0.00319836750145451
GSN,0.000220228998561805,1.28364868442328,1.12438795046878,1.46546745216776,0.00319836750145451
IFNG,0.0163286134038152,0.742020049190655,0.581642135571252,0.946619441282644,0.0725690730932108
IL17RA,0.0151163116040976,0.685115344030961,0.504978414982541,0.929511085425087,0.0700460072922271
IQGAP1,0.00331163307001264,1.43486644673436,1.12764828405447,1.82578357904426,0.0311293508581188
KCNJ15,9.90357164381213e-06,0.791971208452955,0.714145302300602,0.87827840216531,0.000325827507081419
KIR2DL4,0.0100056678068736,0.664231968593639,0.486532143375184,0.90683444888358,0.0600320891726389
KPNA6,0.016543101768969,1.49865496295795,1.07650863911116,2.0863434034797,0.0725690730932108
KRT79,0.00656605548865657,1.15419477619836,1.04080832180419,1.27993363763112,0.0480051612392891
PARP14,0.0220855612351164,0.826454483258884,0.701995080563705,0.972979771240328,0.0885200475827629
SEC31A,0.0368206880705469,1.41692406878114,1.02155869943977,1.96530440961672,0.118764768384411
SEMA4A,0.00134966937445877,0.769122706206237,0.655062298752335,0.903043478961774,0.0148279083444232
TIFA,0.0119693791010391,0.72713707018342,0.567137871817996,0.932274752063473,0.0635149310361589
TNFAIP8,0.0132365680368069,0.740047991606619,0.583208682552252,0.939065288747519,0.0649974758822311
TRIM38,1.35864526782484e-07,0.510514263384323,0.397583835870477,0.655521652554665,2.8189720852031e-05
TRPV4,0.014766471378698,0.831669974039541,0.717132335565923,0.964501126801231,0.0700460072922271
USP25,0.0118352396333679,1.36596359452845,1.07145705199905,1.74141981528416,0.0635149310361589
VAMP8,0.000551439658920423,0.76925684979518,0.662874107909871,0.892712649197733,0.00697783260710843
ADPGK,0.0392658693233557,0.701038434696654,0.500119243127424,0.982675419263397,0.123033057213181
AIM2,0.0159943614405525,0.911073644353709,0.844591632778231,0.982788785990614,0.0720841769033118
ANXA1,1.90880261167275e-05,1.20222693721915,1.10488619597041,1.30814342132847,0.000479130109455908
AP4E1,0.0248230896939932,1.5556361365395,1.05755196372671,2.28830721544849,0.0928045057877699
APOBEC3F,0.000254020190867876,0.648829784186501,0.514605948421609,0.818063005565182,0.0034821934498138
ARHGAP30,0.0353714945040847,0.837763439082663,0.710409055504293,0.987948526874275,0.116372216918439
CCL17,0.000702108293305418,0.7805798721222,0.676385754417324,0.900824614922884,0.00824977244633866
CCN5,0.0158475887031108,1.1676199639917,1.02949036086675,1.32428280257443,0.0720841769033118
CD109,3.80717722675823e-06,1.28959142785879,1.15774028830039,1.43645864932998,0.00020876021793391
CD3D,0.0038813616224736,0.854175599181554,0.76751241660194,0.95062430060408,0.0336044203629951
CD3E,0.0311541567535348,0.88247515591507,0.787628392330372,0.988743433312741,0.107891763914873
CD8A,0.0226521323056937,0.861313916369363,0.757540382116773,0.979303123694301,0.0885200475827629
CD96,9.43072986499139e-06,0.689532299062719,0.584956576702545,0.812803565917495,0.000325827507081419
CFLAR,0.0361606153089765,0.736278978283318,0.552919227501784,0.980444713979815,0.117790519174785
CPA3,0.00135208890678631,1.17400285685433,1.06429005862932,1.29502544604916,0.0148279083444232
CTSH,0.000594606094180998,0.841179997262751,0.762113926627665,0.928448835630131,0.00724538536983513
CXCR6,0.0129594737694038,0.778193692417036,0.63853178101443,0.948402947078957,0.0649974758822311
GATA3,0.000217413124277204,0.88643825293335,0.831573996032335,0.944922255881815,0.00319836750145451
GBP4,0.00409392209525077,0.852355848134729,0.764283950633141,0.950576668851444,0.0345359069060899
GCSAML,0.0111330279709372,3.53038463571605,1.33306223908087,9.34961272677965,0.0624030230971703
GJA5,0.0189049944959329,1.16642837663338,1.02573420062918,1.3264207793608,0.0807758855735315
GZMH,0.0373664559524467,0.885439363685251,0.789602750397261,0.992907973495404,0.119354990372378
HACD4,0.0276772099246647,1.27662288750418,1.02719005120463,1.5866255665037,0.101175578502385
HLA-DMA,0.0104865194212647,0.870846245419042,0.783336787151354,0.96813170988472,0.06052745420344
IL31RA,0.00497964664632707,1.62506303775762,1.1579838910463,2.28054111728608,0.0409575936660402
IL9R,7.62021867130752e-05,0.66628296591476,0.544870043362921,0.814750225445004,0.00147473643697657
KCTD9,0.00975409611955393,1.35138067625154,1.07547223781712,1.69807240757116,0.0600320891726389
KLRD1,0.0440139038346613,0.550291359558554,0.307708943341675,0.984113679362756,0.131641585105487
