symbol,PVal,HR,BB3,BB4,P_adj
ATL3,0.0402339825734628,0.795859914359815,0.639867990733892,0.989880744867931,0.108782100339047
BLZF1,0.00465294536084907,0.745524487312742,0.608327221317768,0.913664129609276,0.0190077767932558
BNIP2,0.000999444592538541,0.689903920961945,0.553056481245609,0.860612679353614,0.00736241179186108
DNASE2,0.0128126359062194,0.788429755376025,0.653833060170232,0.950734242469253,0.0439290373927521
ENDOG,0.00182122636629282,1.42336385851137,1.14009246944638,1.77701785426245,0.00950600834646073
GOLGB1,0.000521083885500218,0.697051527224703,0.568496479452329,0.85467694025893,0.00476419552457342
HBP1,0.011095495464082,0.760184898666101,0.615205401994968,0.939330308683986,0.0398141181282908
IQGAP1,0.0254277835250016,0.807598922504631,0.669585499305727,0.974059355088939,0.0775558223480686
LEPROT,0.00414932215094958,0.753748379888845,0.621273077659428,0.914471656047683,0.017796786067158
LMAN1,0.00827721787353594,0.786230991454557,0.657690500328969,0.939893721460809,0.031784516634378
LRRFIP1,0.0450469884778215,0.811843538920278,0.662130288056981,0.995408220368075,0.118345957726314
MANBA,0.00817091104966952,0.782049423598637,0.651805052238397,0.938319362285746,0.031784516634378
MDFIC,0.00991252731991981,0.822481893483527,0.708959644971751,0.95418190570664,0.0373177499102863
MYSM1,0.0262558773574191,0.804325838999955,0.663791205742429,0.974613778679698,0.0775558223480686
NECTIN4,3.36420812683716e-05,1.34683494743139,1.17004332757982,1.5503394898842,0.000587207236684305
PROX1,0.00165258102149157,0.690897217767585,0.548759989650113,0.869850161312489,0.00906558731789659
RBMS1,0.0206541127995021,0.762189556052812,0.605592874200863,0.959279648266303,0.0660931609584066
ROCK1,0.0105148602214703,0.788739565789331,0.657621790608528,0.945999830793129,0.0388240992792751
SLC30A7,0.00158059228819025,0.68553522381677,0.542389610448719,0.866459338527358,0.00892569762742727
SNTB2,0.0018318870250992,0.715118979488836,0.57914668693804,0.883014901680453,0.00950600834646073
SPTY2D1,0.000232577034984823,0.63349908267996,0.496794469680328,0.807821165993631,0.00235025214300452
TRIM38,0.000129272096429931,0.622741258305473,0.488638046937626,0.793648135314742,0.00137890236191926
USO1,0.00320662828219222,0.778570612675722,0.659186717802084,0.919575869100336,0.0146588721471644
ATXN7,0.000798344713857906,0.607093347070659,0.453495983752048,0.812713552627556,0.00666444282872686
B3GNT2,0.00114064386901509,0.742829729561172,0.621021309163781,0.888529908680476,0.00736241179186108
CASP4,0.00385345515357291,0.777990547977334,0.656193952517792,0.922393890433883,0.0172061253368837
CD300E,0.0175950181763986,0.720695055155674,0.549937620617822,0.944473233059277,0.0572583642350598
CDC34,0.0259513815150785,1.30878458669906,1.03278670202714,1.65853906815314,0.0775558223480686
CENPC,0.00124702920739377,0.616327802882274,0.459395278279021,0.82686953603162,0.00772353573611623
CLEC10A,2.02720776223528e-05,0.74867428644459,0.655363627221666,0.855270515331379,0.000432470989276859
CLEC2D,1.10772329296639e-05,0.649669013632236,0.535996124507095,0.787449401172481,0.000303832674642211
ESYT2,0.0268834028722287,0.81502553525937,0.67999625950428,0.976868054552352,0.0782062629010288
FAM111A,0.001524129144642,0.748049589277085,0.625150579053791,0.895109445254896,0.00886766047791711
FNDC3B,9.59938033213859e-05,0.692493257138945,0.575739344448378,0.832923641239706,0.00122872068251374
