symbol,PVal,HR,BB3,BB4,P_adj
ADAM10,0.031013489885235,4.36273056929872,1.1439659648227,16.638098165135,0.451619923638637
CRISPLD2,0.0269375604126245,1.73661632594682,1.06500683664399,2.83175296136918,0.451619923638637
CYP4B1,0.0183364431637457,0.607980898342443,0.402084310705653,0.91931160432639,0.451619923638637
EFNA2,0.0268863013306911,16.9983451772064,1.38282307228718,208.952066648371,0.451619923638637
ESYT2,0.034003006146462,2.42372347631873,1.06912913436475,5.49459864186471,0.461258170334615
FAM111A,0.0233437101764971,0.41697319227555,0.195784414229086,0.88805150175551,0.451619923638637
FGF7,0.000342394963691253,2.20856358589028,1.43141664089577,3.40764035680629,0.106827228671671
GBP2,0.00513201526452797,0.593496619829952,0.411847287997612,0.855264191400043,0.320237752506546
HLA-DPA1,0.0132739886196461,0.667848244198329,0.48519243969247,0.919266750243456,0.451619923638637
HLA-DPB1,0.0220521659114161,0.655616959840072,0.456760331014102,0.941048442354044,0.451619923638637
HLA-DRA,0.0481849715206529,0.740901679814413,0.550250791890446,0.997609285151398,0.518403831532541
HLA-DRB1,0.0157719255651954,0.668140558850705,0.481597487186786,0.926939650347869,0.451619923638637
MME,0.0310299952803157,1.85379308464882,1.05791652986501,3.24841204733825,0.451619923638637
NKG7,0.0480345629050148,0.603104122902004,0.365328759965885,0.995636322460247,0.518403831532541
PARP14,0.0279017334269562,0.516692638674434,0.286812384808674,0.930822018158104,0.451619923638637
SP100,0.0268382426189191,0.266105365328342,0.0824224300648354,0.859135861449701,0.451619923638637
TRIM38,0.02960241571502,0.250078657478513,0.0717390966604489,0.871760836664321,0.451619923638637
ZBTB41,0.0365603983738329,4.07109292507914,1.09171680399615,15.1814074345676,0.462392363521823
GBP4,0.041994706522484,0.546930481724446,0.305738583266004,0.978394511559171,0.485272164259816
P4HA3,0.00893012754738817,2.80691100198672,1.29491511169253,6.08437518562595,0.451619923638637
ZNF683,0.0279718341425844,0.358897674640473,0.143906000258689,0.895081098986774,0.451619923638637
APOBEC3H,0.037153423047713,0.35539486094919,0.134331604981448,0.940251605022795,0.462392363521823
CD300E,0.00105935608679366,3.52212546320078,1.65763812868292,7.48376112003652,0.165259549539811
CD40,0.0385326969601519,0.641295985147598,0.421015066030427,0.976830934921237,0.462392363521823
GOLGB1,0.0318449946155449,4.23381701805194,1.13350846835106,15.8139149753529,0.451619923638637
HLA-C,0.00370891249720376,0.50085152093242,0.313972227324683,0.798963169952316,0.289295174781894
HTRA4,0.0317899222693916,0.0647120717585085,0.00531585367333006,0.787766648334968,0.451619923638637
SPATA25,0.00354204038177277,4.44245616865403,1.63070131876916,12.1024105292981,0.289295174781894
TMEM50A,0.0106707920393616,0.203368508265893,0.0598836448744808,0.690651850617721,0.451619923638637
