symbol,PVal,HR,BB3,BB4,P_adj
ADA2,0.015622345748337,0.837102586346822,0.724728602965783,0.96690090221487,0.0735327653326898
APOBEC3D,0.000698428631502995,0.660545070081688,0.519736445135679,0.839502008552275,0.0293117582570105
APOBEC3F,0.0103809283994429,0.704085478494306,0.538389529629271,0.920776377965439,0.0615188220449723
APOBEC3G,0.00613808187340199,0.760814482780474,0.625698821891141,0.925107506929631,0.0492732443347276
APOBEC3H,0.0351381724599035,0.699707906340886,0.501926018884421,0.975424934702747,0.122909862132358
ATL3,0.0204707165799753,1.45580751051115,1.05966712770103,2.00003892945014,0.0859770096358962
ATP5F1D,0.00794375805334661,0.786349790759329,0.658478672545159,0.939052423728778,0.0556063063734262
B4GALT1,0.0115030911689679,0.764219615446724,0.620357886313094,0.941443050082834,0.062352683655329
CCL5,0.000778030236848033,0.844644669802557,0.765433833703784,0.932052630563439,0.0293117582570105
CCN5,0.0184115076901127,1.13493162585095,1.02156080222052,1.26088412217545,0.0797831999904882
CD1C,0.0313383873065114,0.828110140313135,0.697447733334193,0.983251320082568,0.112907195826691
CD3E,0.00105971746579115,0.81987032959278,0.727967293190718,0.923375766513277,0.0293117582570105
CD48,0.00354857322896955,0.803763119923982,0.693992592575589,0.930896323478508,0.0445056706127832
CD8A,0.00143618364555549,0.787520678866253,0.6799390549971,0.912124130955544,0.0301598565566653
CD96,0.0159358227425728,0.785044076616868,0.644805592843578,0.955782966325382,0.0737369425207183
CLEC2D,0.00368286396314954,0.6760865607264,0.519125585683444,0.880505700741135,0.0445056706127832
CLNK,0.00409673838831016,0.155485171196198,0.0436314999320668,0.55408680654004,0.0463996561522657
CTLA4,0.0273791097805171,0.79039683476808,0.641337482502677,0.974100490701932,0.106778528144017
CXCR6,0.00620411938754476,0.726390389064221,0.577758817120272,0.913258234560239,0.0492732443347276
CYP4B1,0.0442436329260349,1.09225605073461,1.00227525537326,1.19031500974457,0.144378683840304
DHX58,0.00935367986260492,0.766153840105063,0.626716349491633,0.936614637840353,0.0600511030355708
ESYT2,0.0321726910897537,1.33340762852417,1.02478712663363,1.73497095894149,0.114066813863672
FCMR,0.00118105985650958,0.782556558398951,0.674789533985767,0.907534477418447,0.0293117582570105
FCRL3,0.023764835889185,0.670597402996496,0.474267215818141,0.948201482006051,0.096832838772351
FGF7,0.000563700642469874,1.3488226737258,1.13787554943981,1.59887661357387,0.0293117582570105
GCSAM,0.00108195728827431,0.58395076808513,0.422935936399878,0.806265134265644,0.0293117582570105
GPR171,0.00108221216562637,0.66475826248249,0.520373222173918,0.849205010382043,0.0293117582570105
GPR18,0.0126322920623034,0.631439281429118,0.439962858940594,0.906248238980456,0.0663195333270928
GZMA,0.00101424329164478,0.816248299796998,0.723163737575905,0.92131456861325,0.0293117582570105
GZMH,0.0143225027702372,0.813697982263821,0.689934702312636,0.959662420401327,0.0685972501100835
HLA-DQB1,0.00639257201340459,0.852166550926956,0.759607896449632,0.956003530127726,0.0492732443347276
ICAM3,0.0139724042806988,0.674075837008683,0.49217859611232,0.923197874974765,0.0683514365303711
IGLL5,0.0100885458233778,0.903415708410781,0.836146714559309,0.976096572517792,0.0614177627855202
IKZF3,0.00462337130918621,0.783970192429263,0.662446697240638,0.927786741450557,0.0463996561522657
ITK,0.0101238070525583,0.707756732040881,0.543839480569929,0.921079858388063,0.0614177627855202
KLHDC7B,0.00204010052332611,0.828526435052455,0.735179651453547,0.933725589688882,0.0327616142863546
KLRC4-KLRK1,0.0449530700601679,0.41392686513193,0.17477095735146,0.980342799938984,0.144378683840304
LY9,0.0132485274269886,0.577286346580001,0.373757457824227,0.891646491518069,0.0682424148597714
MTMR12,0.0290763122689771,1.28473119764003,1.02587085184,1.60891036842425,0.110247684019871
NDEL1,0.0111703004078226,1.61496826069592,1.11523696860686,2.33862627985981,0.062234530843583
NDUFS3,0.0445116470581317,0.701486685372906,0.496381081451375,0.991342313684996,0.144378683840304
PLA2G2D,0.00138322989018516,0.775898181131167,0.664158693079161,0.906436961159972,0.0301598565566653
SH2D1A,0.0064626452622504,0.765942821622816,0.632198307655351,0.927981614141475,0.0492732443347276
SIT1,0.00516218303533944,0.780327161739504,0.655818691908572,0.928473809699401,0.0469758656215889
SLAMF8,0.043498267173179,0.865245570136899,0.751819550679037,0.995784022862073,0.144378683840304
SNTB2,0.0233507416787504,1.37468010832641,1.04412313460342,1.80988749085238,0.0965871587621039
STAP1,0.00627025038949707,0.66423872293503,0.495357324697831,0.890696592233697,0.0492732443347276
TESPA1,0.00462566542577732,0.634237492292109,0.462802048107089,0.869177650086594,0.0463996561522657
UBASH3A,0.00305025760089694,0.639908336370381,0.476269195403621,0.859771496683271,0.0438273855286771
VAMP8,0.0173905100970181,0.782413151162126,0.639172739980544,0.957754141908621,0.0789737434749783
ZAP70,0.00478006946499356,0.728654247861419,0.584818877265963,0.907865723159671,0.0463996561522657
ZBTB32,0.0140208074934095,0.448049998536397,0.236133110866894,0.850151003607561,0.0683514365303711
ZNF683,0.00372532786576094,0.730734991403931,0.591151630367397,0.903276926311177,0.0445056706127832
ADPGK,0.00945859864662837,0.581285848358703,0.385867449996696,0.875671781864447,0.0600511030355708
BATF,0.000260711695790336,0.800784775843043,0.71076719181071,0.902202950010066,0.0293117582570105
CCL17,0.0087643903806799,0.757669916311157,0.615686914808232,0.932395489129016,0.0598169643481403
CCR5,0.00667805875598872,0.800943207676093,0.682255610357929,0.940278118909005,0.0492732443347276
CD74,0.00184310971147468,0.817021664880098,0.719449589826798,0.927826508378645,0.0314480594520367
