symbol,PVal,HR,BB3,BB4,P_adj
ITPRIPL2,0.0213202164911784,1.2600171029154,1.03496101408607,1.53401246813273,0.974841159387141
STPG1,0.0295388548427667,0.688154494758842,0.491474950559741,0.963541698549362,0.974841159387141
TM9SF1,0.0385728516304264,1.47175141674154,1.02052333378075,2.12249162854133,0.974841159387141
AFF1,0.0182262817300517,1.34566251817798,1.05172064466581,1.72175721947961,0.974841159387141
CRISPLD2,0.0154393195336906,1.17850152067073,1.03182290066252,1.34603121653091,0.974841159387141
DRAM1,0.0362051454905521,1.17600977010375,1.01047681377823,1.36865978567916,0.974841159387141
EPG5,0.0378268710532045,1.40299230179162,1.01922023543527,1.93126797374263,0.974841159387141
MBNL1,0.0305409253962187,0.713189562817773,0.525036485573999,0.968769535999262,0.974841159387141
MCTP1,0.0342105105187518,1.3627193539897,1.02330302304131,1.81471567651485,0.974841159387141
TP63,0.0489950126123347,0.934541543580096,0.87362836422866,0.999701855431604,0.996755596189398
BHLHE40,0.0229357233306143,1.22965114258539,1.02900120555202,1.46942678424793,0.974841159387141
JHY,0.0030532002819474,1.46946582746997,1.13910014088543,1.89564529104837,0.848789678381377
