symbol,PVal,HR,BB3,BB4,P_adj
DHX58,0.0283804797041654,0.644502758024335,0.43515420444898,0.954566911807643,0.910961829621473
IL5RA,0.0249563187295682,0.00779904784956391,0.000112026683684009,0.542952315997816,0.910961829621473
MTMR12,0.0447207747996948,0.642266536930374,0.416833253906528,0.989619471562214,0.910961829621473
RNF135,0.0443405051452209,0.587291147685403,0.349588458523567,0.986619791758329,0.910961829621473
TMEM109,0.0498849198534072,0.661501434007266,0.43767503128404,0.999792348011939,0.910961829621473
TNKS1BP1,0.0301776908275991,0.65289300900437,0.44405019462856,0.959957424550499,0.910961829621473
ATL3,0.0211399537938224,0.601071313490056,0.389927082265457,0.926549450737309,0.910961829621473
CREB3L2,0.0304112041355701,0.613062968191275,0.393647216399227,0.954779272683392,0.910961829621473
EEF2K,0.0112870247051745,0.473355642366916,0.26541457356066,0.844209725014916,0.910961829621473
ENTPD4,0.0140512428163211,0.541630742004396,0.332036663175166,0.883528517239281,0.910961829621473
FCRL2,0.0430481335266271,0.377000725094383,0.146532730262323,0.96995085307733,0.910961829621473
FCRL5,0.047621044621745,0.591812116272941,0.352173486833432,0.994514334729323,0.910961829621473
HLA-DOB,0.0109375976790665,0.585974226331895,0.388234646212102,0.884428520935439,0.910961829621473
PTPN1,0.0155600317777713,0.510966243848908,0.296570556471541,0.880352066838151,0.910961829621473
SIN3A,0.0193271237838568,0.443584247417514,0.224481326652309,0.876540545671882,0.910961829621473
XCR1,0.0129212909696034,0.347328698240082,0.150886474657501,0.799523117595438,0.910961829621473
APOBEC3F,0.0319883952972461,0.635647187711563,0.420117080800096,0.961749392517267,0.910961829621473
CCR2,0.0351565132712911,0.475923710696335,0.238513883473705,0.949644419453424,0.910961829621473
CSNK1G1,0.00629888214596911,0.385024656736778,0.194129902502115,0.763632930241944,0.910961829621473
