symbol,PVal,HR,BB3,BB4,P_adj
CD109,0.00322649868104587,1.26877381464416,1.08289539707465,1.48655816348967,0.339323633105779
DNASE2,0.0418476921401608,0.740870055033022,0.554994908756224,0.988997249857162,0.811380253162007
FCN1,0.00463071479604153,1.39611945605673,1.10818644218913,1.75886426811878,0.339323633105779
FGF7,0.0129857324315104,1.1932735695562,1.03799039427674,1.37178707977693,0.503557846510794
LTBP2,0.0219953249409642,1.17743504509042,1.02384770986068,1.3540620075184,0.612349180132764
PTPN12,0.0392174048760746,1.34087775048388,1.014606787869,1.77206890712705,0.811380253162007
RAB44,0.0388202459847292,2.13968735565593,1.0398440923638,4.40283501495541,0.811380253162007
SLC4A7,0.0409843273294348,1.35145376932793,1.01241502273067,1.80403021451069,0.811380253162007
SNORC,0.012536289243763,0.790276060304268,0.656949902321717,0.950660391732873,0.503557846510794
STEAP4,0.00486137010180199,1.27104661129853,1.07563788331305,1.50195480575436,0.339323633105779
THBD,0.010721341188517,1.25595189185771,1.05426623606552,1.49622087922289,0.503557846510794
CDC34,0.0235630439014646,0.699013742254266,0.51270361978956,0.953026647365722,0.612349180132764
P4HA3,0.00171087996591041,1.52492204825219,1.1714703666745,1.98501585648027,0.339323633105779
RAI14,0.00237551056697801,1.39752365801292,1.12617103505899,1.73425910799021,0.339323633105779
AGT,0.0167630082656273,1.13063303841934,1.02241764805291,1.25030223216489,0.531844534973085
ANKRD50,0.0122355336433966,1.43466474052103,1.0817308783229,1.90274952757693,0.503557846510794
CLEC12B,0.015342566333618,15.922658029225,1.69895906544756,149.227279145101,0.531844534973085
IL17RA,0.0245641504924318,0.669903665056303,0.472422387117709,0.949935762345767,0.612349180132764
